"",BBFB1.Q.N.DE.A2.S1.S1.T.C.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.A2.S1.S1.T.C.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Receipts / North American countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:32:26,
1991-01,2838.227,
1991-04,3247.900,
1991-07,3190.018,
1991-10,3057.154,
1992-01,2907.795,
1992-04,2956.902,
1992-07,2983.608,
1992-10,2859.487,
1993-01,2636.475,
1993-04,2631.734,
1993-07,2805.606,
1993-10,2578.654,
1994-01,2762.843,
1994-04,2647.923,
1994-07,2853.844,
1994-10,2752.825,
1995-01,2482.959,
1995-04,2465.666,
1995-07,2505.744,
1995-10,2664.572,
1996-01,2425.400,
1996-04,2645.443,
1996-07,2748.083,
1996-10,3156.835,
1997-01,2829.720,
1997-04,3945.384,
1997-07,3826.796,
1997-10,3849.421,
1998-01,3602.916,
1998-04,3404.271,
1998-07,3560.823,
1998-10,3358.616,
1999-01,3346.225,
1999-04,3587.103,
1999-07,4090.030,
1999-10,4285.209,
2000-01,4204.124,
2000-04,4706.349,
2000-07,4906.886,
2000-10,5318.496,
2001-01,4406.527,
2001-04,4535.209,
2001-07,4545.942,
2001-10,5857.670,
2002-01,4941.953,
2002-04,5415.375,
2002-07,5518.997,
2002-10,6098.330,
2003-01,4349.066,
2003-04,4620.047,
2003-07,4493.619,
2003-10,5067.049,
2004-01,4451.121,
2004-04,4874.989,
2004-07,5096.086,
2004-10,5443.518,
2005-01,5598.061,
2005-04,5040.306,
2005-07,5301.046,
2005-10,6227.560,
2006-01,4970.009,
2006-04,5481.521,
2006-07,5562.122,
2006-10,6430.628,
2007-01,5309.759,
2007-04,6175.366,
2007-07,6130.046,
2007-10,6613.737,
2008-01,5332.594,
2008-04,5942.365,
2008-07,5803.821,
2008-10,6708.073,
2009-01,5489.691,
2009-04,6189.466,
2009-07,5293.338,
2009-10,5854.822,
2010-01,5932.305,
2010-04,6538.618,
2010-07,6207.545,
2010-10,7167.811,
2011-01,6718.588,
2011-04,6665.736,
2011-07,6557.546,
2011-10,7882.688,
2012-01,6644.364,
2012-04,7710.585,
2012-07,7627.239,
2012-10,8094.185,
2013-01,7619.508,
2013-04,8039.246,
2013-07,8421.530,
2013-10,8131.591,
2014-01,7786.608,Provisional value
2014-04,8137.295,Provisional value
2014-07,7745.749,Provisional value
