"",BBK01.OELJ02J,BBK01.OELJ02J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:23,
2002-01,0.044,
2002-04,0.050,
2002-07,0.057,
2002-10,0.043,
2003-01,0.042,
2003-04,0.035,
2003-07,0.038,
2003-10,0.044,
2004-01,0.054,
2004-04,0.044,
2004-07,0.046,
2004-10,0.050,
2005-01,0.045,
2005-04,0.044,
2005-07,0.049,
2005-10,0.050,
2006-01,0.051,
2006-04,0.052,
2006-07,0.051,
2006-10,0.057,
2007-01,0.051,
2007-04,0.050,
2007-07,0.052,
2007-10,0.053,
2008-01,0.051,
2008-04,0.061,
2008-07,0.064,
2008-10,0.057,
2009-01,0.065,
2009-04,0.069,
2009-07,0.074,
2009-10,0.091,
2010-01,0.085,
2010-04,0.125,
2010-07,0.121,
2010-10,0.130,
2011-01,0.108,
2011-04,0.100,
2011-07,0.104,
2011-10,0.098,
2012-01,0.106,
2012-04,0.099,
2012-07,0.123,
2012-10,0.130,
2013-01,0.151,
2013-04,0.146,
2013-07,0.151,
2013-10,0.143,
2014-01,0.145,
2014-04,0.143,
2014-07,0.171,
