"",BBFB1.M.N.DE.W1.S1.S1.T.C.D1._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.D1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Compensation of employees / Receipts / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:38:04,
1991-01,327.603,
1991-02,328.625,
1991-03,329.490,
1991-04,333.921,
1991-05,334.943,
1991-06,335.296,
1991-07,315.770,
1991-08,316.281,
1991-09,317.145,
1991-10,374.388,
1991-11,375.922,
1991-12,376.275,
1992-01,311.859,
1992-02,312.371,
1992-03,316.005,
1992-04,323.853,
1992-05,324.876,
1992-06,327.488,
1992-07,302.446,
1992-08,303.979,
1992-09,307.614,
1992-10,359.083,
1992-11,360.617,
1992-12,363.229,
1993-01,302.929,
1993-02,303.951,
1993-03,308.004,
1993-04,307.391,
1993-05,308.925,
1993-06,311.955,
1993-07,283.997,
1993-08,284.508,
1993-09,289.072,
1993-10,331.395,
1993-11,333.441,
1993-12,337.679,
1994-01,292.920,
1994-02,292.920,
1994-03,293.262,
1994-04,296.286,
1994-05,296.798,
1994-06,298.163,
1994-07,282.216,
1994-08,282.728,
1994-09,284.093,
1994-10,336.540,
1994-11,338.074,
1994-12,338.793,
1995-01,258.560,
1995-02,259.583,
1995-03,260.020,
1995-04,261.497,
1995-05,263.031,
1995-06,264.490,
1995-07,257.947,
1995-08,258.970,
1995-09,260.429,
1995-10,317.879,
1995-11,318.391,
1995-12,318.827,
1996-01,263.484,
1996-02,264.812,
1996-03,274.420,
1996-04,262.614,
1996-05,282.142,
1996-06,269.116,
1996-07,268.849,
1996-08,256.935,
1996-09,267.430,
1996-10,313.407,
1996-11,296.714,
1996-12,312.056,
1997-01,282.362,
1997-02,262.148,
1997-03,266.996,
1997-04,268.311,
1997-05,288.128,
1997-06,277.960,
1997-07,274.458,
1997-08,275.098,
1997-09,258.932,
1997-10,328.883,
1997-11,303.656,
1997-12,307.870,
1998-01,268.693,
1998-02,270.160,
1998-03,303.697,
1998-04,289.943,
1998-05,284.733,
1998-06,284.851,
1998-07,279.881,
1998-08,278.434,
1998-09,278.598,
1998-10,323.197,
1998-11,305.993,
1998-12,336.982,
1999-01,291.577,
1999-02,266.330,
1999-03,277.524,
1999-04,282.613,
1999-05,292.702,
1999-06,285.553,
1999-07,280.888,
1999-08,284.744,
1999-09,284.746,
1999-10,292.618,
1999-11,310.608,
1999-12,376.740,
2000-01,296.098,
2000-02,300.091,
2000-03,310.211,
2000-04,310.183,
2000-05,334.676,
2000-06,311.185,
2000-07,309.299,
2000-08,321.768,
2000-09,317.298,
2000-10,334.448,
2000-11,346.212,
2000-12,424.174,
2001-01,332.519,
2001-02,331.472,
2001-03,349.661,
2001-04,328.581,
2001-05,353.890,
2001-06,350.115,
2001-07,352.974,
2001-08,359.223,
2001-09,351.332,
2001-10,376.177,
2001-11,379.229,
2001-12,470.913,
2002-01,397.969,
2002-02,382.696,
2002-03,373.446,
2002-04,407.545,
2002-05,394.793,
2002-06,388.565,
2002-07,400.263,
2002-08,402.965,
2002-09,389.825,
2002-10,423.614,
2002-11,427.292,
2002-12,524.113,
2003-01,399.755,
2003-02,395.056,
2003-03,402.496,
2003-04,417.039,
2003-05,409.844,
2003-06,408.881,
2003-07,421.650,
2003-08,405.793,
2003-09,410.717,
2003-10,429.454,
2003-11,421.737,
2003-12,550.093,
2004-01,410.311,
2004-02,406.501,
2004-03,424.486,
2004-04,422.444,
2004-05,417.532,
2004-06,430.291,
2004-07,426.055,
2004-08,415.446,
2004-09,429.650,
2004-10,448.237,
2004-11,446.432,
2004-12,555.120,
2005-01,441.596,
2005-02,432.507,
2005-03,443.786,
2005-04,443.865,
2005-05,442.634,
2005-06,449.200,
2005-07,437.427,
2005-08,466.444,
2005-09,439.750,
2005-10,455.578,
2005-11,465.024,
2005-12,605.134,
2006-01,472.517,
2006-02,478.006,
2006-03,470.572,
2006-04,486.673,
2006-05,467.376,
2006-06,486.862,
2006-07,479.380,
2006-08,479.992,
2006-09,486.001,
2006-10,492.010,
2006-11,508.547,
2006-12,645.748,
2007-01,568.697,
2007-02,558.464,
2007-03,578.083,
2007-04,570.594,
2007-05,573.844,
2007-06,582.758,
2007-07,584.460,
2007-08,567.380,
2007-09,574.474,
2007-10,611.682,
2007-11,596.657,
2007-12,747.460,
2008-01,580.026,
2008-02,607.115,
2008-03,601.825,
2008-04,596.497,
2008-05,626.631,
2008-06,595.496,
2008-07,616.040,
2008-08,591.653,
2008-09,605.416,
2008-10,640.993,
2008-11,623.703,
2008-12,802.479,
2009-01,669.508,
2009-02,707.376,
2009-03,733.335,
2009-04,717.956,
2009-05,709.417,
2009-06,709.166,
2009-07,700.876,
2009-08,710.230,
2009-09,711.492,
2009-10,750.640,
2009-11,762.275,
2009-12,953.679,
2010-01,747.374,
2010-02,766.014,
2010-03,786.407,
2010-04,768.173,
2010-05,790.577,
2010-06,776.786,
2010-07,773.030,
2010-08,769.874,
2010-09,774.204,
2010-10,833.257,
2010-11,816.368,
2010-12,1036.788,
2011-01,826.957,
2011-02,824.947,
2011-03,846.969,
2011-04,841.913,
2011-05,849.750,
2011-06,840.527,
2011-07,837.038,
2011-08,837.528,
2011-09,829.945,
2011-10,899.231,
2011-11,899.844,
2011-12,1115.476,
2012-01,870.183,
2012-02,870.730,
2012-03,871.486,
2012-04,880.775,
2012-05,881.599,
2012-06,881.610,
2012-07,872.557,
2012-08,872.168,
2012-09,871.746,
2012-10,1191.395,
2012-11,1190.332,
2012-12,1517.334,
2013-01,935.787,
2013-02,935.466,
2013-03,937.589,
2013-04,958.212,
2013-05,955.414,
2013-06,977.714,
2013-07,945.550,
2013-08,946.638,
2013-09,945.627,
2013-10,1014.162,
2013-11,1025.717,
2013-12,1301.216,
2014-01,945.301,
2014-02,948.059,Provisional value
2014-03,946.628,Provisional value
2014-04,972.194,Provisional value
2014-05,963.071,Provisional value
2014-06,967.672,Provisional value
2014-07,954.990,Provisional value
2014-08,956.624,Provisional value
2014-09,949.869,
2014-10,1020.754,
2014-11,1015.006,
2014-12,1285.600,Provisional value
