"",BBNZ1.Q.DE.Y.H.0152.A,BBNZ1.Q.DE.Y.H.0152.A_FLAGS
"",Germany / National accounts / Use of GDP / Machinery and equipment / Chain-linked index / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-25 17:37:52,
1991-01,79.19,
1991-04,80.10,
1991-07,79.64,
1991-10,81.08,
1992-01,79.50,
1992-04,78.88,
1992-07,75.35,
1992-10,71.41,
1993-01,68.36,
1993-04,65.00,
1993-07,64.63,
1993-10,62.81,
1994-01,63.03,
1994-04,63.50,
1994-07,64.63,
1994-10,66.01,
1995-01,65.16,
1995-04,66.23,
1995-07,65.82,
1995-10,66.11,
1996-01,65.10,
1996-04,67.81,
1996-07,67.79,
1996-10,69.51,
1997-01,69.49,
1997-04,69.89,
1997-07,70.42,
1997-10,72.84,
1998-01,76.42,
1998-04,77.12,
1998-07,79.01,
1998-10,80.48,
1999-01,83.60,
1999-04,83.10,
1999-07,85.75,
1999-10,85.96,
2000-01,90.54,
2000-04,92.97,
2000-07,96.62,
2000-10,95.73,
2001-01,96.50,
2001-04,92.55,
2001-07,89.66,
2001-10,87.64,
2002-01,85.04,
2002-04,84.41,
2002-07,83.98,
2002-10,84.29,
2003-01,85.18,
2003-04,83.93,
2003-07,83.98,
2003-10,84.15,
2004-01,84.72,
2004-04,86.48,
2004-07,88.67,
2004-10,88.24,
2005-01,88.44,
2005-04,90.04,
2005-07,92.41,
2005-10,96.95,
2006-01,97.23,
2006-04,104.32,
2006-07,102.66,
2006-10,107.49,
2007-01,109.92,
2007-04,113.84,
2007-07,113.23,
2007-10,118.15,
2008-01,117.15,
2008-04,116.44,
2008-07,117.55,
2008-10,113.05,
2009-01,93.11,
2009-04,90.65,
2009-07,90.29,
2009-10,88.80,
2010-01,93.42,
2010-04,98.72,
2010-07,101.50,
2010-10,103.30,
2011-01,104.87,
2011-04,105.14,
2011-07,106.94,
2011-10,105.49,
2012-01,106.05,
2012-04,102.34,
2012-07,101.60,
2012-10,102.67,
2013-01,98.56,
2013-04,101.32,
2013-07,100.71,
2013-10,103.34,
2014-01,105.40,
2014-04,106.05,
2014-07,104.60,
2014-10,105.01,
