"",BBK01.OEHI01K,BBK01.OEHI01K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:27,
2002-01,19.346,
2002-04,19.318,
2002-07,18.525,
2002-10,19.746,
2003-01,19.110,
2003-04,19.461,
2003-07,19.524,
2003-10,19.479,
2004-01,19.470,
2004-04,19.797,
2004-07,19.414,
2004-10,21.005,
2005-01,20.801,
2005-04,20.574,
2005-07,20.664,
2005-10,20.855,
2006-01,21.424,
2006-04,21.597,
2006-07,21.564,
2006-10,22.274,
2007-01,21.906,
2007-04,22.485,
2007-07,22.312,
2007-10,22.543,
2008-01,22.217,
2008-04,23.289,
2008-07,23.596,
2008-10,25.085,
2009-01,25.457,
2009-04,25.700,
2009-07,25.835,
2009-10,26.684,
2010-01,26.738,
2010-04,27.111,
2010-07,26.730,
2010-10,26.994,
2011-01,26.786,
2011-04,27.119,
2011-07,27.873,
2011-10,27.071,
2012-01,27.104,
2012-04,27.101,
2012-07,27.643,
2012-10,27.288,
2013-01,27.692,
2013-04,27.636,
2013-07,27.719,
2013-10,27.751,
2014-01,28.213,
2014-04,28.686,
2014-07,28.816,
