"",BBK01.BQM109,BBK01.BQM109_FLAGS
"",Central government debt - of which loans - of which long-term,
unit,eur (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:34:38,
2000-01,106243,
2000-04,106481,
2000-07,101922,
2000-10,91279,
2001-01,84702,
2001-04,83235,
2001-07,80743,
2001-10,76707,
2002-01,73514,
2002-04,71962,
2002-07,70765,
2002-10,65417,
2003-01,62355,
2003-04,62230,
2003-07,66611,
2003-10,71373,
2004-01,70972,
2004-04,70274,
2004-07,70989,
2004-10,66687,
2005-01,66934,
2005-04,59214,
2005-07,61897,
2005-10,57717,
2006-01,56946,
2006-04,53582,
2006-07,52037,
2006-10,50670,
2007-01,46705,
2007-04,46223,
2007-07,43988,
2007-10,37349,
2008-01,35851,
2008-04,35839,
2008-07,35017,
2008-10,34708,
2009-01,34423,
2009-04,34273,
2009-07,34445,
2009-10,34227,
2010-01,34165,Provisional value
2010-04,38392,Provisional value
2010-07,39928,Provisional value
2010-10,48065,Provisional value
2011-01,50858,Provisional value
2011-04,47003,Provisional value
2011-07,53557,Provisional value
2011-10,56078,Provisional value
2012-01,70860,Provisional value
2012-04,83158,Provisional value
2012-07,84870,Provisional value
2012-10,95609,Provisional value
2013-01,99249,Provisional value
2013-04,105198,Provisional value
2013-07,106664,Provisional value
2013-10,106974,Provisional value
2014-01,105917,Provisional value
2014-04,108508,Provisional value
2014-07,109179,Provisional value
