"",BBK01.OELB09L,BBK01.OELB09L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:56,
2002-01,5.329,
2002-04,5.342,
2002-07,5.264,
2002-10,5.224,
2003-01,5.167,
2003-04,5.084,
2003-07,5.045,
2003-10,4.947,
2004-01,4.867,
2004-04,4.792,
2004-07,4.774,
2004-10,4.628,
2005-01,4.660,
2005-04,4.543,
2005-07,4.537,
2005-10,4.442,
2006-01,4.472,
2006-04,4.402,
2006-07,4.441,
2006-10,4.224,
2007-01,4.330,
2007-04,4.338,
2007-07,4.376,
2007-10,4.373,
2008-01,4.547,
2008-04,4.564,
2008-07,4.698,
2008-10,4.745,
2009-01,4.827,
2009-04,4.799,
2009-07,4.857,
2009-10,4.870,
2010-01,4.978,
2010-04,4.972,
2010-07,4.940,
2010-10,4.946,
2011-01,5.028,
2011-04,5.115,
2011-07,5.166,
2011-10,5.243,
2012-01,5.382,
2012-04,5.695,
2012-07,5.904,
2012-10,5.909,
2013-01,6.107,
2013-04,6.174,
2013-07,6.348,
2013-10,6.459,
2014-01,6.562,
2014-04,6.697,
2014-07,6.804,
