"",BBK01.OXP7C1,BBK01.OXP7C1_FLAGS
"",Trading portfolio derivatives (included in other assets) / Foreign banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 08:24:47,
2010-12,74.238,
2011-01,65.609,
2011-02,64.514,
2011-03,59.559,
2011-04,63.883,
2011-05,63.949,
2011-06,59.504,
2011-07,71.308,
2011-08,79.965,
2011-09,90.350,
2011-10,83.593,
2011-11,83.021,
2011-12,89.114,
2012-01,85.022,
2012-02,85.828,
2012-03,80.968,
2012-04,82.581,
2012-05,104.782,
2012-06,88.584,
2012-07,95.550,
2012-08,93.573,
2012-09,88.964,
2012-10,84.864,
2012-11,78.387,
2012-12,75.220,
2013-01,68.034,
2013-02,68.048,
2013-03,69.530,
2013-04,69.829,
2013-05,65.127,
2013-06,59.515,
2013-07,60.098,
2013-08,55.985,
2013-09,57.646,
2013-10,57.620,
2013-11,57.455,
2013-12,52.703,
2014-01,54.514,
2014-02,54.507,
2014-03,52.510,
2014-04,53.483,
2014-05,56.483,
2014-06,56.176,
2014-07,57.954,
2014-08,64.390,
2014-09,67.192,
2014-10,66.799,
2014-11,69.230,
2014-12,72.375,Provisional value
