"",BBK01.OEHJ06H,BBK01.OEHJ06H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:44,
2002-01,2.467,
2002-04,2.444,
2002-07,2.423,
2002-10,2.360,
2003-01,2.387,
2003-04,2.331,
2003-07,2.284,
2003-10,2.217,
2004-01,2.114,
2004-04,2.097,
2004-07,2.088,
2004-10,2.113,
2005-01,2.063,
2005-04,1.988,
2005-07,1.939,
2005-10,1.843,
2006-01,1.823,
2006-04,1.838,
2006-07,1.793,
2006-10,1.753,
2007-01,1.713,
2007-04,1.653,
2007-07,1.632,
2007-10,1.549,
2008-01,1.506,
2008-04,1.486,
2008-07,1.487,
2008-10,1.485,
2009-01,1.471,
2009-04,1.377,
2009-07,1.372,
2009-10,1.393,
2010-01,1.347,
2010-04,1.284,
2010-07,1.313,
2010-10,1.292,
2011-01,1.348,
2011-04,1.421,
2011-07,1.527,
2011-10,1.524,
2012-01,1.447,
2012-04,1.341,
2012-07,1.241,
2012-10,1.169,
2013-01,1.128,
2013-04,1.083,
2013-07,1.029,
2013-10,1.028,
2014-01,0.972,
2014-04,0.963,
2014-07,0.903,
