"",BBK01.OEXB10U,BBK01.OEXB10U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:25,
2002-01,0.351,
2002-04,0.370,
2002-07,0.378,
2002-10,0.360,
2003-01,0.370,
2003-04,0.361,
2003-07,0.331,
2003-10,0.289,
2004-01,0.322,
2004-04,0.329,
2004-07,0.316,
2004-10,0.270,
2005-01,0.268,
2005-04,0.260,
2005-07,0.266,
2005-10,0.245,
2006-01,0.248,
2006-04,0.238,
2006-07,0.229,
2006-10,0.238,
2007-01,0.254,
2007-04,0.396,
2007-07,0.322,
2007-10,0.280,
2008-01,0.330,
2008-04,0.337,
2008-07,0.267,
2008-10,0.255,
2009-01,0.236,
2009-04,0.244,
2009-07,0.248,
2009-10,0.218,
2010-01,0.210,
2010-04,0.251,
2010-07,0.182,
2010-10,0.145,
2011-01,0.141,
2011-04,0.150,
2011-07,0.163,
2011-10,0.135,
2012-01,0.126,
2012-04,0.145,
2012-07,0.154,
2012-10,0.136,
2013-01,0.140,
2013-04,0.166,
2013-07,0.145,
2013-10,0.125,
2014-01,0.145,
2014-04,0.166,
2014-07,0.156,
