"",BBK01.OEAH66U,BBK01.OEAH66U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:34,
2002-01,1.300,
2002-04,1.347,
2002-07,1.380,
2002-10,1.424,
2003-01,1.404,
2003-04,1.389,
2003-07,1.361,
2003-10,1.384,
2004-01,1.387,
2004-04,1.372,
2004-07,1.353,
2004-10,1.332,
2005-01,1.294,
2005-04,1.219,
2005-07,1.159,
2005-10,1.156,
2006-01,1.104,
2006-04,1.083,
2006-07,1.062,
2006-10,0.998,
2007-01,0.925,
2007-04,0.905,
2007-07,0.894,
2007-10,0.856,
2008-01,0.835,
2008-04,0.825,
2008-07,0.817,
2008-10,0.771,
2009-01,0.721,
2009-04,0.700,
2009-07,0.704,
2009-10,0.742,
2010-01,0.815,
2010-04,0.833,
2010-07,0.829,
2010-10,0.843,
2011-01,0.848,
2011-04,0.884,
2011-07,0.902,
2011-10,0.906,
2012-01,0.900,
2012-04,0.867,
2012-07,0.858,
2012-10,0.841,
2013-01,0.782,
2013-04,0.744,
2013-07,0.731,
2013-10,0.742,
2014-01,0.718,
2014-04,0.679,
2014-07,0.634,
