"",BBK01.OEXK03O,BBK01.OEXK03O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:13,
2002-01,-0.096,
2002-04,-0.090,
2002-07,-0.116,
2002-10,-0.079,
2003-01,-0.077,
2003-04,-0.075,
2003-07,-0.076,
2003-10,-0.074,
2004-01,-0.074,
2004-04,-0.071,
2004-07,-0.081,
2004-10,-0.088,
2005-01,0.009,
2005-04,0.009,
2005-07,0.010,
2005-10,0.039,
2006-01,0.039,
2006-04,0.040,
2006-07,0.045,
2006-10,0.048,
2007-01,0.047,
2007-04,0.045,
2007-07,0.044,
2007-10,0.027,
2008-01,0.028,
2008-04,0.034,
2008-07,0.030,
2008-10,0.019,
2009-01,0.011,
2009-04,0.010,
2009-07,0.007,
2009-10,0.005,
2010-01,0.006,
2010-04,0.060,
2010-07,0.005,
2010-10,0.005,
2011-01,0.012,
2011-04,0.013,
2011-07,0.024,
2011-10,0.017,
2012-01,0.016,
2012-04,0.011,
2012-07,0.012,
2012-10,0.011,
2013-01,0.010,
2013-04,0.009,
2013-07,0.009,
2013-10,0.008,
2014-01,0.008,
2014-04,0.006,
2014-07,0.006,
