"",BBK01.QX6307,BBK01.QX6307_FLAGS
"",Banks in Germany: Liabilities to non-residents / Finland / Euro,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 07:09:24,
1995-01,0.186,
1995-02,0.126,
1995-03,0.092,
1995-04,0.227,
1995-05,0.098,
1995-06,0.219,
1995-07,0.117,
1995-08,0.165,
1995-09,0.084,
1995-10,0.126,
1995-11,0.103,
1995-12,0.130,
1996-01,0.136,
1996-02,0.372,
1996-03,0.157,
1996-04,0.156,
1996-05,0.121,
1996-06,0.204,
1996-07,0.157,
1996-08,0.096,
1996-09,0.123,
1996-10,0.126,
1996-11,0.127,
1996-12,0.155,
1997-01,0.089,
1997-02,0.110,
1997-03,0.100,
1997-04,0.108,
1997-05,0.109,
1997-06,0.096,
1997-07,0.111,
1997-08,0.100,
1997-09,0.126,
1997-10,0.112,
1997-11,0.127,
1997-12,0.198,
1998-01,0.100,
1998-02,0.172,
1998-03,0.129,
1998-04,0.192,
1998-05,0.120,
1998-06,0.129,
1998-07,0.153,
1998-08,0.119,
1998-09,0.089,
1998-10,0.261,
1998-11,0.157,
1998-12,0.354,
1999-01,2.087,
1999-02,1.954,
1999-03,0.939,
1999-04,0.871,
1999-05,1.583,
1999-06,0.997,
1999-07,0.730,
1999-08,1.106,
1999-09,0.880,
1999-10,0.980,
1999-11,1.961,
1999-12,1.180,
2000-01,1.440,
2000-02,1.022,
2000-03,2.112,
2000-04,1.289,
2000-05,1.013,
2000-06,2.047,
2000-07,1.355,
2000-08,1.169,
2000-09,1.024,
2000-10,1.227,
2000-11,1.330,
2000-12,1.909,
2001-01,0.493,
2001-02,1.223,
2001-03,1.124,
2001-04,2.067,
2001-05,2.885,
2001-06,1.349,
2001-07,1.478,
2001-08,2.301,
2001-09,1.699,
2001-10,1.334,
2001-11,2.432,
2001-12,2.128,
2002-01,1.672,
2002-02,1.500,
2002-03,.,No value available
2002-04,0.899,
2002-05,2.117,
2002-06,2.586,
2002-07,2.234,
2002-08,2.676,
2002-09,2.007,
2002-10,2.366,
2002-11,1.494,
2002-12,0.873,
2003-01,0.500,
2003-02,1.528,
2003-03,1.769,
2003-04,1.069,
2003-05,2.417,
2003-06,2.487,
2003-07,2.294,
2003-08,2.473,
2003-09,2.515,
2003-10,2.513,
2003-11,1.582,
2003-12,0.857,
2004-01,1.187,
2004-02,0.544,
2004-03,0.469,
2004-04,0.628,
2004-05,1.313,
2004-06,1.338,
2004-07,0.780,
2004-08,0.903,
2004-09,0.884,
2004-10,0.853,
2004-11,1.053,
2004-12,0.936,
2005-01,0.496,
2005-02,0.459,
2005-03,0.559,
2005-04,1.533,
2005-05,0.825,
2005-06,0.778,
2005-07,0.616,
2005-08,0.667,
2005-09,0.622,
2005-10,0.837,
2005-11,1.232,
2005-12,1.719,
2006-01,1.712,
2006-02,1.040,
2006-03,0.933,
2006-04,0.670,
2006-05,1.848,
2006-06,1.972,
2006-07,2.060,
2006-08,1.904,
2006-09,2.516,
2006-10,2.038,
2006-11,3.197,
2006-12,2.545,
2007-01,2.291,
2007-02,1.556,
2007-03,1.216,
2007-04,0.666,
2007-05,1.356,
2007-06,1.412,
2007-07,0.652,
2007-08,0.844,
2007-09,1.319,
2007-10,2.123,
2007-11,3.975,
2007-12,1.219,
2008-01,2.181,
2008-02,1.092,
2008-03,1.506,
2008-04,1.936,
2008-05,1.434,
2008-06,1.710,
2008-07,2.229,
2008-08,1.451,
2008-09,1.506,
2008-10,2.491,
2008-11,2.117,
2008-12,2.479,
2009-01,2.203,
2009-02,1.827,
2009-03,2.066,
2009-04,1.902,
2009-05,1.914,
2009-06,1.926,
2009-07,1.819,
2009-08,1.943,
2009-09,2.018,
2009-10,1.738,
2009-11,1.656,
2009-12,1.468,
2010-01,1.357,
2010-02,1.400,
2010-03,1.369,
2010-04,1.608,
2010-05,1.611,
2010-06,1.711,
2010-07,1.564,
2010-08,1.907,
2010-09,1.612,
2010-10,1.713,
2010-11,1.786,
2010-12,1.382,
2011-01,2.261,
2011-02,1.596,
2011-03,1.748,
2011-04,1.763,
2011-05,1.287,
2011-06,1.307,
2011-07,1.275,
2011-08,1.420,
2011-09,1.211,
2011-10,1.594,
2011-11,1.460,
2011-12,1.169,
2012-01,1.540,
2012-02,2.078,
2012-03,1.288,
2012-04,2.983,
2012-05,4.308,
2012-06,3.290,
2012-07,3.001,
2012-08,3.916,
2012-09,4.426,
2012-10,1.529,
2012-11,3.667,
2012-12,2.955,
2013-01,2.216,
2013-02,1.307,
2013-03,1.300,
2013-04,1.521,
2013-05,1.402,
2013-06,3.411,
2013-07,1.158,
2013-08,1.072,
2013-09,1.304,
2013-10,1.164,
2013-11,1.251,
2013-12,1.934,
2014-01,1.689,
2014-02,1.651,
2014-03,2.446,
2014-04,1.196,
2014-05,1.167,
2014-06,1.382,
2014-07,1.585,
2014-08,2.203,
2014-09,1.846,
2014-10,1.928,
2014-11,2.165,
2014-12,1.809,
