"",BBNZ1.Q.DE.S.G.0335.A,BBNZ1.Q.DE.S.G.0335.A_FLAGS
"","Germany / National accounts / Households' income / Deductions (Wage tax payable on gross wages and salaries, and employees' social contributions) / Seasonally adjusted only",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-25 17:38:06,
1991-01,47.831,
1991-04,52.290,
1991-07,55.505,
1991-10,56.206,
1992-01,57.204,
1992-04,58.849,
1992-07,61.770,
1992-10,59.672,
1993-01,59.442,
1993-04,59.733,
1993-07,61.612,
1993-10,61.262,
1994-01,62.953,
1994-04,62.394,
1994-07,64.384,
1994-10,65.425,
1995-01,66.822,
1995-04,68.787,
1995-07,70.038,
1995-10,70.166,
1996-01,68.655,
1996-04,68.434,
1996-07,69.718,
1996-10,70.404,
1997-01,70.773,
1997-04,70.635,
1997-07,70.817,
1997-10,71.508,
1998-01,71.136,
1998-04,71.713,
1998-07,72.304,
1998-10,73.454,
1999-01,73.008,
1999-04,73.812,
1999-07,73.443,
1999-10,74.143,
2000-01,73.255,
2000-04,74.219,
2000-07,74.678,
2000-10,75.211,
2001-01,74.038,
2001-04,73.980,
2001-07,73.764,
2001-10,74.312,
2002-01,75.067,
2002-04,75.096,
2002-07,74.841,
2002-10,74.970,
2003-01,76.362,
2003-04,76.761,
2003-07,76.094,
2003-10,75.901,
2004-01,75.235,
2004-04,73.963,
2004-07,73.861,
2004-10,73.790,
2005-01,74.309,
2005-04,73.474,
2005-07,73.985,
2005-10,74.951,
2006-01,75.841,
2006-04,76.385,
2006-07,77.032,
2006-10,78.079,
2007-01,78.687,
2007-04,79.952,
2007-07,80.296,
2007-10,81.444,
2008-01,82.540,
2008-04,84.260,
2008-07,84.401,
2008-10,86.077,
2009-01,85.580,
2009-04,83.699,
2009-07,83.535,
2009-10,84.141,
2010-01,83.022,
2010-04,83.116,
2010-07,84.723,
2010-10,86.013,
2011-01,88.410,
2011-04,89.788,
2011-07,90.302,
2011-10,90.727,
2012-01,92.070,
2012-04,93.588,
2012-07,94.637,
2012-10,95.011,
2013-01,95.326,
2013-04,96.610,
2013-07,97.685,
2013-10,98.678,
2014-01,99.767,
2014-04,100.700,
2014-07,102.046,
2014-10,103.063,
