"",BBK01.OEBO02S,BBK01.OEBO02S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:28,
2002-01,0.243,
2002-04,0.236,
2002-07,0.201,
2002-10,0.186,
2003-01,0.215,
2003-04,0.182,
2003-07,0.221,
2003-10,0.172,
2004-01,0.201,
2004-04,0.155,
2004-07,0.178,
2004-10,0.184,
2005-01,0.329,
2005-04,0.259,
2005-07,0.267,
2005-10,0.249,
2006-01,0.364,
2006-04,0.292,
2006-07,0.274,
2006-10,0.330,
2007-01,0.578,
2007-04,0.352,
2007-07,0.335,
2007-10,0.409,
2008-01,0.457,
2008-04,0.424,
2008-07,0.334,
2008-10,0.524,
2009-01,0.432,
2009-04,0.363,
2009-07,0.410,
2009-10,0.383,
2010-01,0.382,
2010-04,0.233,
2010-07,0.224,
2010-10,0.340,
2011-01,0.376,
2011-04,0.276,
2011-07,0.276,
2011-10,0.263,
2012-01,0.437,
2012-04,0.243,
2012-07,0.254,
2012-10,0.253,
2013-01,0.323,
2013-04,0.212,
2013-07,0.191,
2013-10,0.193,
2014-01,0.172,
2014-04,0.137,
2014-07,0.281,
