"",BBK01.OECL07V,BBK01.OECL07V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:16:04,
2002-01,1.118,
2002-04,0.779,
2002-07,0.782,
2002-10,0.851,
2003-01,0.852,
2003-04,0.813,
2003-07,0.857,
2003-10,0.855,
2004-01,0.825,
2004-04,1.258,
2004-07,1.345,
2004-10,1.382,
2005-01,2.777,
2005-04,2.745,
2005-07,2.701,
2005-10,2.652,
2006-01,2.611,
2006-04,2.547,
2006-07,2.476,
2006-10,2.450,
2007-01,2.457,
2007-04,2.407,
2007-07,2.354,
2007-10,2.378,
2008-01,2.336,
2008-04,2.358,
2008-07,2.294,
2008-10,2.304,
2009-01,2.322,
2009-04,2.375,
2009-07,2.437,
2009-10,2.481,
2010-01,2.490,
2010-04,2.451,
2010-07,2.468,
2010-10,2.485,
2011-01,2.447,
2011-04,2.434,
2011-07,2.433,
2011-10,2.440,
2012-01,2.649,
2012-04,2.625,
2012-07,2.636,
2012-10,2.710,
2013-01,2.666,
2013-04,2.635,
2013-07,2.604,
2013-10,2.636,
2014-01,2.619,
2014-04,2.599,
2014-07,2.626,
