"",BBFB1.M.N.DE.W1.S1.S1.T.C.S._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Receipts / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:53:43,
1991-01,3911.406,
1991-02,3906.411,
1991-03,3893.712,
1991-04,4467.226,
1991-05,4356.503,
1991-06,4312.851,
1991-07,4827.264,
1991-08,4763.557,
1991-09,4355.484,
1991-10,4391.153,
1991-11,4214.967,
1991-12,4853.347,
1992-01,3942.169,
1992-02,4357.583,
1992-03,4111.094,
1992-04,4476.981,
1992-05,4144.344,
1992-06,4527.154,
1992-07,4572.295,
1992-08,4428.128,
1992-09,4384.746,
1992-10,4691.542,
1992-11,4309.567,
1992-12,4951.016,
1993-01,3800.276,
1993-02,4126.897,
1993-03,4388.488,
1993-04,4434.061,
1993-05,4127.898,
1993-06,4472.428,
1993-07,4829.104,
1993-08,4406.737,
1993-09,4660.349,
1993-10,4375.026,
1993-11,4445.007,
1993-12,4888.007,
1994-01,4454.912,
1994-02,4064.509,
1994-03,4523.218,
1994-04,4232.744,
1994-05,4287.991,
1994-06,4505.811,
1994-07,4487.081,
1994-08,4614.202,
1994-09,4727.660,
1994-10,4234.426,
1994-11,4297.923,
1994-12,4945.244,
1995-01,4594.323,
1995-02,4479.869,
1995-03,4673.932,
1995-04,4025.816,
1995-05,4851.738,
1995-06,4639.633,
1995-07,5091.213,
1995-08,4924.128,
1995-09,4612.992,
1995-10,5026.547,
1995-11,4871.399,
1995-12,5468.004,
1996-01,4600.210,
1996-02,4595.079,
1996-03,4429.478,
1996-04,4877.954,
1996-05,4875.004,
1996-06,4791.196,
1996-07,5243.688,
1996-08,5236.865,
1996-09,4848.108,
1996-10,5233.752,
1996-11,4928.009,
1996-12,6168.948,
1997-01,5175.538,
1997-02,5076.086,
1997-03,5113.934,
1997-04,5572.885,
1997-05,5817.461,
1997-06,5956.750,
1997-07,6724.287,
1997-08,6135.672,
1997-09,5792.471,
1997-10,6467.442,
1997-11,5692.048,
1997-12,6861.459,
1998-01,5719.110,
1998-02,5478.780,
1998-03,6615.860,
1998-04,5886.231,
1998-05,6168.590,
1998-06,6337.609,
1998-07,7049.134,
1998-08,6343.383,
1998-09,6372.785,
1998-10,6002.912,
1998-11,5525.530,
1998-12,7803.081,
1999-01,5309.745,
1999-02,5432.355,
1999-03,6251.810,
1999-04,6284.952,
1999-05,6348.311,
1999-06,6647.200,
1999-07,7141.383,
1999-08,6858.526,
1999-09,6703.422,
1999-10,6914.975,
1999-11,6659.695,
1999-12,8050.978,
2000-01,6342.124,
2000-02,6843.504,
2000-03,7254.616,
2000-04,7002.898,
2000-05,7527.971,
2000-06,7579.660,
2000-07,7879.216,
2000-08,7101.300,
2000-09,7758.483,
2000-10,7509.410,
2000-11,7604.356,
2000-12,9893.098,
2001-01,6750.840,
2001-02,7136.054,
2001-03,7425.423,
2001-04,7225.094,
2001-05,8075.124,
2001-06,7976.485,
2001-07,8451.606,
2001-08,7883.318,
2001-09,7498.230,
2001-10,8985.556,
2001-11,8079.670,
2001-12,10020.993,
2002-01,8186.384,
2002-02,7792.414,
2002-03,8142.064,
2002-04,9262.825,
2002-05,8133.876,
2002-06,8951.759,
2002-07,9582.469,
2002-08,9306.012,
2002-09,8814.502,
2002-10,9432.764,
2002-11,8739.128,
2002-12,11461.299,
2003-01,8044.264,
2003-02,7111.178,
2003-03,8284.866,
2003-04,8915.640,
2003-05,7823.399,
2003-06,8620.966,
2003-07,9286.937,
2003-08,8040.582,
2003-09,8581.511,
2003-10,8765.778,
2003-11,8665.445,
2003-12,11725.905,
2004-01,8392.294,
2004-02,8367.328,
2004-03,9634.480,
2004-04,9499.427,
2004-05,9623.979,
2004-06,10145.305,
2004-07,10195.058,
2004-08,9514.834,
2004-09,10417.323,
2004-10,9900.753,
2004-11,9900.588,
2004-12,13187.323,
2005-01,10263.214,
2005-02,8786.260,
2005-03,9817.493,
2005-04,10166.122,
2005-05,9837.607,
2005-06,10766.290,
2005-07,11314.904,
2005-08,10482.403,
2005-09,10876.735,
2005-10,10761.179,
2005-11,10680.954,
2005-12,14583.304,
2006-01,10592.715,
2006-02,10088.519,
2006-03,11159.472,
2006-04,11033.396,
2006-05,11598.700,
2006-06,12993.083,
2006-07,12516.944,
2006-08,11695.998,
2006-09,12154.444,
2006-10,12528.756,
2006-11,12064.042,
2006-12,15756.895,
2007-01,11378.674,
