"",BBFN1.M.DE.N.1.A.W1.S1P.F0.S.NV00.Z06.BGA.X001.D,BBFN1.M.DE.N.1.A.W1.S1P.F0.S.NV00.Z06.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on non-residents affiliated enterprises arising from financial operations / Foreign currency / All countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:05:29,
1971-06,0.324,
1971-07,0.341,
1971-08,0.308,
1971-09,0.341,
1971-10,0.310,
1971-11,0.297,
1971-12,0.288,
1972-01,0.296,
1972-02,0.295,
1972-03,0.301,
1972-04,0.263,
1972-05,0.263,
1972-06,0.286,
1972-07,0.276,
1972-08,0.289,
1972-09,0.266,
1972-10,0.248,
1972-11,0.254,
1972-12,0.299,
1973-01,0.255,
1973-02,0.237,
1973-03,0.244,
1973-04,0.278,
1973-05,0.265,
1973-06,0.248,
1973-07,0.257,
1973-08,0.242,
1973-09,0.233,
1973-10,0.215,
1973-11,0.234,
1973-12,0.238,
1974-01,0.287,
1974-02,0.299,
1974-03,0.315,
1974-04,0.415,
1974-05,0.439,
1974-06,0.272,
1974-07,0.335,
1974-08,0.307,
1974-09,0.299,
1974-10,0.281,
1974-11,0.310,
1974-12,0.299,
1975-01,0.284,
1975-02,0.316,
1975-03,0.347,
1975-04,0.392,
1975-05,0.427,
1975-06,0.429,
1975-07,0.486,
1975-08,0.443,
1975-09,0.470,
1975-10,0.444,
1975-11,0.480,
1975-12,0.474,
1976-01,0.490,
1976-02,0.513,
1976-03,0.560,
1976-04,0.586,
1976-05,0.659,
1976-06,0.644,
1976-07,0.699,
1976-08,0.742,
1976-09,0.889,
1976-10,0.867,
1976-11,0.936,
1976-12,0.850,
1977-01,0.809,
1977-02,0.794,
1977-03,0.771,
1977-04,0.828,
1977-05,0.787,
1977-06,0.847,
1977-07,0.868,
1977-08,1.044,
1977-09,0.908,
1977-10,0.804,
1977-11,0.905,
1977-12,0.653,
1978-01,0.832,
1978-02,0.706,
1978-03,0.695,
1978-04,0.741,
1978-05,0.959,
1978-06,0.888,
1978-07,0.811,
1978-08,0.797,
