"",BBK01.OELO01K,BBK01.OELO01K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:40,
2002-01,1.639,
2002-04,1.642,
2002-07,1.631,
2002-10,1.601,
2003-01,1.681,
2003-04,1.723,
2003-07,1.733,
2003-10,1.734,
2004-01,1.854,
2004-04,1.907,
2004-07,1.926,
2004-10,1.955,
2005-01,2.025,
2005-04,2.050,
2005-07,2.045,
2005-10,2.068,
2006-01,2.113,
2006-04,2.127,
2006-07,2.162,
2006-10,2.182,
2007-01,2.283,
2007-04,2.245,
2007-07,2.126,
2007-10,2.067,
2008-01,2.103,
2008-04,2.030,
2008-07,1.955,
2008-10,1.786,
2009-01,1.706,
2009-04,1.724,
2009-07,1.783,
2009-10,1.787,
2010-01,1.816,
2010-04,1.899,
2010-07,1.974,
2010-10,2.081,
2011-01,2.184,
2011-04,2.214,
2011-07,2.217,
2011-10,2.173,
2012-01,2.103,
2012-04,2.084,
2012-07,2.074,
2012-10,2.036,
2013-01,2.042,
2013-04,2.073,
2013-07,2.074,
2013-10,2.084,
2014-01,2.090,
2014-04,2.317,
2014-07,2.308,
