"",BBSF2.M.1.S.I0015.REN01.I.F.MIZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0015.REN01.I.F.MIZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Bonds funds / Sales receipts / Private non-profit institutions / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:50:16,
2009-09,107,
2009-10,15,
2009-11,1,
2009-12,129,
2010-01,174,
2010-02,15,
2010-03,20,
2010-04,142,
2010-05,28,
2010-06,36,
2010-07,5,
2010-08,42,
2010-09,23,
2010-10,1,
2010-11,75,
2010-12,39,
2011-01,6,
2011-02,12,
2011-03,1,
2011-04,1,
2011-05,28,
2011-06,45,
2011-07,0,
2011-08,6,
2011-09,42,
2011-10,1,
2011-11,0,
2011-12,62,
2012-01,83,
2012-02,52,
2012-03,16,
2012-04,11,
2012-05,30,
2012-06,77,
2012-07,31,
2012-08,1,
2012-09,5,
2012-10,253,
2012-11,778,
2012-12,55,
2013-01,4,
2013-02,73,
2013-03,57,
2013-04,27,
2013-05,22,
2013-06,396,
2013-07,86,
2013-08,0,
2013-09,2,
2013-10,53,
2013-11,12,
2013-12,128,
2014-01,225,
2014-02,198,
2014-03,13,
2014-04,30,
2014-05,28,
2014-06,29,
2014-07,25,
2014-08,133,
2014-09,1,
2014-10,16,
2014-11,68,
