"",BBK01.BQ9066,BBK01.BQ9066_FLAGS
"",General government debt as defined in the Maastricht Treaty - Germany - state government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:34:21,
2000-01,344226,
2000-04,344200,
2000-07,344852,
2000-10,353487,
2001-01,357015,
2001-04,359337,
2001-07,367997,
2001-10,379503,
2002-01,384140,
2002-04,389468,
2002-07,397078,
2002-10,407552,
2003-01,420370,
2003-04,427891,
2003-07,430497,
2003-10,440006,
2004-01,448813,
2004-04,455256,
2004-07,461633,
2004-10,464403,
2005-01,470904,
2005-04,474343,
2005-07,479037,
2005-10,486389,
2006-01,492754,
2006-04,493849,
2006-07,494146,
2006-10,497779,
2007-01,499230,
2007-04,496048,
2007-07,496848,
2007-10,501669,
2008-01,510834,
2008-04,537913,
2008-07,534474,
2008-10,539117,
2009-01,547656,
2009-04,566883,
2009-07,570078,
2009-10,581287,
2010-01,587262,Provisional value
2010-04,615835,Provisional value
2010-07,621736,Provisional value
2010-10,628029,Provisional value
2011-01,625919,Provisional value
2011-04,632417,Provisional value
2011-07,636301,Provisional value
2011-10,642817,Provisional value
2012-01,649816,Provisional value
2012-04,669100,Provisional value
2012-07,678942,Provisional value
2012-10,671541,Provisional value
2013-01,663337,Provisional value
2013-04,653069,Provisional value
2013-07,646135,Provisional value
2013-10,652466,Provisional value
2014-01,642351,Provisional value
2014-04,640207,Provisional value
2014-07,644214,Provisional value
