"",BBK01.OEHB11U,BBK01.OEHB11U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:35,
2002-01,0.126,
2002-04,0.120,
2002-07,0.131,
2002-10,0.130,
2003-01,0.137,
2003-04,0.133,
2003-07,0.142,
2003-10,0.142,
2004-01,0.131,
2004-04,0.124,
2004-07,0.126,
2004-10,0.130,
2005-01,0.120,
2005-04,0.121,
2005-07,0.110,
2005-10,0.117,
2006-01,0.123,
2006-04,0.121,
2006-07,0.119,
2006-10,0.113,
2007-01,0.114,
2007-04,0.119,
2007-07,0.120,
2007-10,0.120,
2008-01,0.125,
2008-04,0.135,
2008-07,0.134,
2008-10,0.138,
2009-01,0.142,
2009-04,0.145,
2009-07,0.180,
2009-10,0.193,
2010-01,0.187,
2010-04,0.188,
2010-07,0.197,
2010-10,0.183,
2011-01,0.186,
2011-04,0.196,
2011-07,0.191,
2011-10,0.205,
2012-01,0.213,
2012-04,0.213,
2012-07,0.216,
2012-10,0.220,
2013-01,0.245,
2013-04,0.238,
2013-07,0.241,
2013-10,0.236,
2014-01,0.225,
2014-04,0.208,
2014-07,0.216,
