"",BBK01.OEYI01T,BBK01.OEYI01T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:38,
2002-01,0.298,
2002-04,0.382,
2002-07,0.354,
2002-10,0.402,
2003-01,0.447,
2003-04,0.393,
2003-07,0.382,
2003-10,0.203,
2004-01,0.381,
2004-04,0.366,
2004-07,0.187,
2004-10,0.248,
2005-01,0.217,
2005-04,0.202,
2005-07,0.390,
2005-10,0.329,
2006-01,0.362,
2006-04,0.513,
2006-07,0.313,
2006-10,0.434,
2007-01,0.439,
2007-04,0.426,
2007-07,0.459,
2007-10,0.565,
2008-01,0.590,
2008-04,0.838,
2008-07,0.600,
2008-10,0.710,
2009-01,0.610,
2009-04,0.444,
2009-07,0.486,
2009-10,0.483,
2010-01,0.536,
2010-04,0.547,
2010-07,0.516,
2010-10,0.515,
2011-01,0.446,
2011-04,0.493,
2011-07,0.812,
2011-10,0.592,
2012-01,0.824,
2012-04,0.533,
2012-07,0.735,
2012-10,0.828,
2013-01,0.706,
2013-04,0.677,
2013-07,0.584,
2013-10,0.690,
2014-01,0.696,
2014-04,0.672,
2014-07,0.745,
