"",BBFB1.Q.N.DE.AT.S1.S1.T.L.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.AT.S1.S1.T.L.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Austria,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:42:27,
1991-01,-9.361,
1991-04,100.589,
1991-07,-321.613,
1991-10,70.625,
1992-01,-51.709,
1992-04,100.188,
1992-07,311.087,
1992-10,-275.313,
1993-01,772.763,
1993-04,135.711,
1993-07,493.379,
1993-10,-436.725,
1994-01,541.808,
1994-04,-72.697,
1994-07,-202.993,
1994-10,89.432,
1995-01,1800.407,
1995-04,30.953,
1995-07,281.125,
1995-10,775.507,
1996-01,-141.119,
1996-04,8.657,
1996-07,423.856,
1996-10,1086.386,
1997-01,979.089,
1997-04,537.038,
1997-07,1133.869,
1997-10,-285.438,
1998-01,428.550,
1998-04,256.831,
1998-07,571.265,
1998-10,1341.755,
1999-01,2519.642,
1999-04,-229.440,
1999-07,1609.786,
1999-10,-821.904,
2000-01,1515.301,
2000-04,1377.023,
2000-07,-1768.432,
2000-10,1014.253,
2001-01,2702.920,
2001-04,-569.382,
2001-07,1887.730,
2001-10,2476.109,
2002-01,-1464.162,
2002-04,1722.127,
2002-07,-2591.430,
2002-10,-1210.306,
2003-01,1936.351,
2003-04,1504.679,
2003-07,-65.687,
2003-10,-1458.975,
2004-01,-190.796,
2004-04,1999.180,
2004-07,-163.629,
2004-10,-1397.775,
2005-01,2748.570,
2005-04,1528.726,
2005-07,2060.301,
2005-10,-333.985,
2006-01,1560.521,
2006-04,677.631,
2006-07,1257.773,
2006-10,12814.687,
2007-01,-8092.587,
2007-04,2079.624,
2007-07,-2756.936,
2007-10,-180.027,
2008-01,4652.279,
2008-04,3189.718,
2008-07,-465.846,
2008-10,-5355.819,
2009-01,3942.827,
2009-04,1669.772,
2009-07,-1577.774,
2009-10,-5226.742,
2010-01,1404.664,
2010-04,4737.213,
2010-07,1961.006,
2010-10,-8083.084,
2011-01,6964.975,
2011-04,-2790.086,
2011-07,927.528,
2011-10,-3348.160,
2012-01,3187.406,
2012-04,-1435.472,
2012-07,-1027.545,
2012-10,-1256.092,
2013-01,588.682,
2013-04,-412.086,
2013-07,804.255,
2013-10,-3079.509,
2014-01,1793.078,Provisional value
2014-04,8577.370,Provisional value
2014-07,-2054.958,Provisional value
2014-10,-5158.725,Provisional value
