"",BBK01.OEYL01J,BBK01.OEYL01J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:54,
2002-01,0.777,
2002-04,0.760,
2002-07,0.768,
2002-10,0.814,
2003-01,0.814,
2003-04,0.833,
2003-07,0.824,
2003-10,0.850,
2004-01,0.956,
2004-04,0.969,
2004-07,0.867,
2004-10,0.862,
2005-01,0.917,
2005-04,0.969,
2005-07,1.013,
2005-10,0.997,
2006-01,0.992,
2006-04,0.989,
2006-07,0.999,
2006-10,1.015,
2007-01,1.063,
2007-04,1.104,
2007-07,1.107,
2007-10,1.227,
2008-01,1.066,
2008-04,1.059,
2008-07,1.116,
2008-10,1.213,
2009-01,1.239,
2009-04,1.301,
2009-07,1.273,
2009-10,1.232,
2010-01,1.226,
2010-04,1.273,
2010-07,1.238,
2010-10,1.255,
2011-01,1.271,
2011-04,1.260,
2011-07,1.253,
2011-10,1.304,
2012-01,1.303,
2012-04,1.188,
2012-07,1.195,
2012-10,1.186,
2013-01,1.191,
2013-04,1.197,
2013-07,1.209,
2013-10,1.203,
2014-01,1.181,
2014-04,1.176,
2014-07,0.712,
