"",BBK01.OEAC07T,BBK01.OEAC07T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:17,
2002-01,0.246,
2002-04,0.249,
2002-07,0.237,
2002-10,0.229,
2003-01,0.220,
2003-04,0.219,
2003-07,0.208,
2003-10,0.209,
2004-01,0.207,
2004-04,0.204,
2004-07,0.203,
2004-10,0.193,
2005-01,0.192,
2005-04,0.202,
2005-07,0.199,
2005-10,0.193,
2006-01,0.192,
2006-04,0.196,
2006-07,0.187,
2006-10,0.185,
2007-01,0.184,
2007-04,0.184,
2007-07,0.178,
2007-10,0.179,
2008-01,0.191,
2008-04,0.206,
2008-07,0.201,
2008-10,0.203,
2009-01,0.202,
2009-04,0.197,
2009-07,0.194,
2009-10,0.182,
2010-01,0.202,
2010-04,0.199,
2010-07,0.201,
2010-10,0.178,
2011-01,0.187,
2011-04,0.181,
2011-07,0.198,
2011-10,0.216,
2012-01,0.216,
2012-04,0.217,
2012-07,0.226,
2012-10,0.225,
2013-01,0.227,
2013-04,0.231,
2013-07,0.233,
2013-10,0.236,
2014-01,0.239,
2014-04,0.252,
2014-07,0.255,
