"",BBK01.OEAH78L,BBK01.OEAH78L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:31,
2002-01,0.219,
2002-04,0.229,
2002-07,0.245,
2002-10,0.247,
2003-01,0.209,
2003-04,0.205,
2003-07,0.201,
2003-10,0.220,
2004-01,0.218,
2004-04,0.201,
2004-07,0.173,
2004-10,0.144,
2005-01,0.142,
2005-04,0.141,
2005-07,0.138,
2005-10,0.136,
2006-01,0.124,
2006-04,0.142,
2006-07,0.127,
2006-10,0.125,
2007-01,0.143,
2007-04,0.151,
2007-07,0.170,
2007-10,0.181,
2008-01,0.174,
2008-04,0.158,
2008-07,0.157,
2008-10,0.149,
2009-01,0.144,
2009-04,0.156,
2009-07,0.163,
2009-10,0.166,
2010-01,0.146,
2010-04,0.176,
2010-07,0.153,
2010-10,0.153,
2011-01,0.152,
2011-04,0.158,
2011-07,0.156,
2011-10,0.152,
2012-01,0.144,
2012-04,0.141,
2012-07,0.150,
2012-10,0.141,
2013-01,0.132,
2013-04,0.117,
2013-07,0.118,
2013-10,0.111,
2014-01,0.120,
2014-04,0.100,
2014-07,0.101,
