"",BBK01.OEBB12S,BBK01.OEBB12S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:43,
2002-01,3.214,
2002-04,3.144,
2002-07,3.008,
2002-10,2.995,
2003-01,2.935,
2003-04,2.930,
2003-07,2.908,
2003-10,2.907,
2004-01,2.880,
2004-04,2.855,
2004-07,2.845,
2004-10,2.834,
2005-01,2.876,
2005-04,2.897,
2005-07,2.866,
2005-10,2.895,
2006-01,2.950,
2006-04,2.961,
2006-07,2.992,
2006-10,3.001,
2007-01,3.033,
2007-04,3.008,
2007-07,3.075,
2007-10,3.241,
2008-01,3.248,
2008-04,3.290,
2008-07,3.304,
2008-10,3.402,
2009-01,3.453,
2009-04,3.503,
2009-07,3.524,
2009-10,3.750,
2010-01,3.761,
2010-04,3.760,
2010-07,3.895,
2010-10,4.023,
2011-01,4.096,
2011-04,4.159,
2011-07,4.281,
2011-10,4.432,
2012-01,4.503,
2012-04,4.570,
2012-07,4.614,
2012-10,4.651,
2013-01,4.703,
2013-04,4.689,
2013-07,4.719,
2013-10,4.738,
2014-01,4.688,
2014-04,4.603,
2014-07,4.655,
