"",BBK01.CEF40L,BBK01.CEF40L_FLAGS
"",Loans  debtor: Total                    creditor:  Pension funds,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:36:52,
1999-01,14.4,
1999-04,14.6,
1999-07,14.7,
1999-10,12.7,
2000-01,12.8,
2000-04,13.1,
2000-07,13.2,
2000-10,11.6,
2001-01,11.7,
2001-04,11.9,
2001-07,12.2,
2001-10,12.3,
2002-01,12.6,
2002-04,12.8,
2002-07,12.7,
2002-10,14.8,
2003-01,14.9,
2003-04,15.2,
2003-07,15.4,
2003-10,19.0,
2004-01,19.5,
2004-04,19.6,
2004-07,19.8,
2004-10,21.2,
2005-01,21.3,
2005-04,21.3,
2005-07,21.3,
2005-10,19.0,
2006-01,19.1,
2006-04,19.7,
2006-07,20.4,
2006-10,19.8,
2007-01,19.9,
2007-04,20.2,
2007-07,20.4,
2007-10,21.3,
2008-01,21.5,
2008-04,21.5,
2008-07,21.5,
2008-10,21.0,
2009-01,21.8,
2009-04,22.2,
2009-07,22.3,
2009-10,22.9,
2010-01,23.2,
2010-04,23.7,
2010-07,23.9,
2010-10,23.6,
2011-01,24.6,
2011-04,24.6,
2011-07,24.4,
2011-10,25.5,
2012-01,25.6,
2012-04,25.5,
2012-07,25.5,
2012-10,25.9,
2013-01,26.1,
2013-04,26.4,
2013-07,26.3,
2013-10,25.2,
2014-01,24.8,
2014-04,24.8,
2014-07,24.2,
