"",BBK01.OEAH44G,BBK01.OEAH44G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:22,
2002-01,7.881,
2002-04,8.162,
2002-07,8.186,
2002-10,8.247,
2003-01,8.692,
2003-04,8.572,
2003-07,8.882,
2003-10,8.956,
2004-01,9.404,
2004-04,9.227,
2004-07,9.264,
2004-10,9.510,
2005-01,8.785,
2005-04,8.737,
2005-07,9.097,
2005-10,9.395,
2006-01,9.593,
2006-04,9.314,
2006-07,9.390,
2006-10,9.609,
2007-01,9.804,
2007-04,9.707,
2007-07,9.807,
2007-10,10.309,
2008-01,10.133,
2008-04,9.814,
2008-07,9.742,
2008-10,10.587,
2009-01,11.528,
2009-04,12.276,
2009-07,13.141,
2009-10,13.818,
2010-01,13.859,
2010-04,14.173,
2010-07,14.338,
2010-10,15.243,
2011-01,14.822,
2011-04,14.885,
2011-07,15.133,
2011-10,15.717,
2012-01,15.992,
2012-04,16.144,
2012-07,17.216,
2012-10,17.785,
2013-01,17.604,
2013-04,17.986,
2013-07,18.863,
2013-10,19.709,
2014-01,19.062,
2014-04,19.237,
2014-07,19.800,
