"",BBK01.OEBO03M,BBK01.OEBO03M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:02,
2002-01,1.599,
2002-04,1.539,
2002-07,1.051,
2002-10,0.993,
2003-01,1.232,
2003-04,1.075,
2003-07,1.039,
2003-10,0.996,
2004-01,1.227,
2004-04,0.959,
2004-07,0.906,
2004-10,0.903,
2005-01,1.576,
2005-04,1.348,
2005-07,1.374,
2005-10,1.347,
2006-01,1.709,
2006-04,1.516,
2006-07,1.484,
2006-10,1.691,
2007-01,2.061,
2007-04,1.608,
2007-07,1.496,
2007-10,1.573,
2008-01,1.733,
2008-04,1.552,
2008-07,1.477,
2008-10,1.783,
2009-01,1.722,
2009-04,1.472,
2009-07,1.554,
2009-10,1.928,
2010-01,1.986,
2010-04,1.285,
2010-07,0.974,
2010-10,1.245,
2011-01,1.540,
2011-04,1.412,
2011-07,1.261,
2011-10,1.263,
2012-01,1.584,
2012-04,1.114,
2012-07,1.167,
2012-10,1.267,
2013-01,1.613,
2013-04,1.139,
2013-07,1.015,
2013-10,0.888,
2014-01,0.940,
2014-04,0.781,
2014-07,0.896,
