"",BBK01.CEFB0N,BBK01.CEFB0N_FLAGS
"",long-term debt securities  debtor: Total                              creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:37:15,
1999-01,632.3,
1999-04,632.4,
1999-07,635.2,
1999-10,638.4,
2000-01,641.1,
2000-04,683.6,
2000-07,699.1,
2000-10,731.2,
2001-01,817.3,
2001-04,766.8,
2001-07,873.5,
2001-10,817.5,
2002-01,826.9,
2002-04,873.6,
2002-07,929.1,
2002-10,956.9,
2003-01,992.2,
2003-04,1013.0,
2003-07,982.4,
2003-10,990.6,
2004-01,1070.3,
2004-04,1061.3,
2004-07,1119.8,
2004-10,1154.1,
2005-01,1204.2,
2005-04,1320.7,
2005-07,1333.7,
2005-10,1337.4,
2006-01,1575.7,
2006-04,1562.0,
2006-07,1585.1,
2006-10,1612.4,
2007-01,1607.5,
2007-04,1584.8,
2007-07,1582.8,
2007-10,1606.3,
2008-01,1636.6,
2008-04,1608.6,
2008-07,1672.8,
2008-10,1714.1,
2009-01,1713.0,
2009-04,1711.9,
2009-07,1712.1,
2009-10,1728.8,
2010-01,1786.7,
2010-04,1839.3,
2010-07,1856.6,
2010-10,1829.7,
2011-01,1780.5,
2011-04,1833.2,
2011-07,1918.5,
2011-10,1884.5,
2012-01,1918.3,
2012-04,1959.5,
2012-07,1968.6,
2012-10,1978.8,
2013-01,1919.9,
2013-04,1865.8,
2013-07,1806.6,
2013-10,1819.2,
2014-01,1837.6,
2014-04,1867.4,
2014-07,1899.1,
