"",BBK01.OEBL07S,BBK01.OEBL07S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:55,
2002-01,1.067,
2002-04,0.943,
2002-07,0.938,
2002-10,0.951,
2003-01,0.906,
2003-04,0.865,
2003-07,0.889,
2003-10,0.854,
2004-01,0.814,
2004-04,0.785,
2004-07,0.799,
2004-10,0.822,
2005-01,1.791,
2005-04,1.780,
2005-07,1.765,
2005-10,1.782,
2006-01,1.809,
2006-04,1.806,
2006-07,1.735,
2006-10,1.750,
2007-01,1.891,
2007-04,1.922,
2007-07,1.939,
2007-10,2.032,
2008-01,2.080,
2008-04,2.137,
2008-07,2.130,
2008-10,2.251,
2009-01,2.230,
2009-04,2.232,
2009-07,2.288,
2009-10,2.271,
2010-01,2.231,
2010-04,2.192,
2010-07,2.191,
2010-10,2.279,
2011-01,2.331,
2011-04,2.309,
2011-07,2.306,
2011-10,2.298,
2012-01,2.364,
2012-04,2.342,
2012-07,2.328,
2012-10,2.334,
2013-01,2.287,
2013-04,2.233,
2013-07,2.196,
2013-10,2.193,
2014-01,2.173,
2014-04,2.126,
2014-07,2.209,
