"",BBK01.OEXK02L,BBK01.OEXK02L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:05,
2002-01,1.816,
2002-04,2.546,
2002-07,3.013,
2002-10,3.172,
2003-01,4.599,
2003-04,5.207,
2003-07,5.209,
2003-10,5.152,
2004-01,6.052,
2004-04,6.621,
2004-07,6.979,
2004-10,7.199,
2005-01,7.441,
2005-04,7.893,
2005-07,7.863,
2005-10,7.724,
2006-01,7.744,
2006-04,7.795,
2006-07,7.242,
2006-10,6.856,
2007-01,6.704,
2007-04,6.646,
2007-07,6.478,
2007-10,6.200,
2008-01,5.992,
2008-04,5.422,
2008-07,6.154,
2008-10,5.881,
2009-01,6.768,
2009-04,5.899,
2009-07,7.217,
2009-10,8.242,
2010-01,8.575,
2010-04,8.874,
2010-07,8.417,
2010-10,8.316,
2011-01,9.518,
2011-04,9.975,
2011-07,10.038,
2011-10,9.941,
2012-01,9.958,
2012-04,9.609,
2012-07,9.818,
2012-10,10.530,
2013-01,11.258,
2013-04,11.731,
2013-07,12.545,
2013-10,12.166,
2014-01,12.337,
2014-04,12.853,
2014-07,12.726,
