"",BBK01.OEYB19K,BBK01.OEYB19K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:02,
2002-01,0.372,
2002-04,0.390,
2002-07,0.414,
2002-10,1.080,
2003-01,1.051,
2003-04,1.089,
2003-07,1.129,
2003-10,1.150,
2004-01,0.492,
2004-04,0.916,
2004-07,0.903,
2004-10,0.427,
2005-01,0.420,
2005-04,0.402,
2005-07,0.381,
2005-10,0.370,
2006-01,0.348,
2006-04,0.335,
2006-07,0.315,
2006-10,0.284,
2007-01,0.226,
2007-04,0.226,
2007-07,0.208,
2007-10,0.192,
2008-01,0.175,
2008-04,0.225,
2008-07,0.206,
2008-10,0.200,
2009-01,0.193,
2009-04,0.193,
2009-07,0.168,
2009-10,0.155,
2010-01,0.159,
2010-04,0.150,
2010-07,0.155,
2010-10,0.150,
2011-01,0.144,
2011-04,0.143,
2011-07,0.156,
2011-10,0.146,
2012-01,0.145,
2012-04,0.142,
2012-07,0.129,
2012-10,0.095,
2013-01,0.093,
2013-04,0.096,
2013-07,0.059,
2013-10,0.057,
2014-01,0.052,
2014-04,0.050,
2014-07,0.052,
