"",BBFB1.Q.N.DE.B2.S1.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.B2.S1.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Balance / EU15 (fixed composition),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:27:41,
1991-01,-4141.983,
1991-04,-3484.214,
1991-07,-3463.609,
1991-10,-4316.961,
1992-01,-4205.840,
1992-04,-3768.042,
1992-07,-4062.438,
1992-10,-4323.415,
1993-01,-3705.330,
1993-04,-4284.058,
1993-07,-4448.589,
1993-10,-5267.987,
1994-01,-4937.621,
1994-04,-4684.835,
1994-07,-5109.652,
1994-10,-5560.806,
1995-01,-4890.241,
1995-04,-4347.538,
1995-07,-4706.314,
1995-10,-5522.238,
1996-01,-5435.396,
1996-04,-5458.055,
1996-07,-3256.328,
1996-10,-4940.304,
1997-01,-6784.082,
1997-04,-3975.997,
1997-07,-5214.410,
1997-10,-3650.427,
1998-01,-8166.656,
1998-04,-3099.710,
1998-07,-4667.426,
1998-10,-4780.846,
1999-01,-5886.134,
1999-04,-3305.755,
1999-07,-5059.624,
1999-10,-4536.049,
2000-01,-5919.923,
2000-04,-4995.901,
2000-07,-4664.254,
2000-10,-5639.143,
2001-01,-5923.125,
2001-04,-5205.640,
2001-07,-3403.753,
2001-10,-4790.119,
2002-01,-6039.012,
2002-04,-5157.320,
2002-07,-3037.817,
2002-10,-3889.736,
2003-01,-5877.015,
2003-04,-5179.766,
2003-07,-5721.070,
2003-10,-4294.821,
2004-01,-6501.574,
2004-04,-4143.863,
2004-07,-5252.921,
2004-10,-3594.142,
2005-01,-8104.876,
2005-04,-3453.000,
2005-07,-5218.422,
2005-10,-4327.265,
2006-01,-7350.094,
2006-04,-2827.350,
2006-07,-6067.938,
2006-10,-5853.848,
2007-01,-8644.798,
2007-04,-2302.841,
2007-07,-5472.272,
2007-10,-6956.766,
2008-01,-7454.456,
2008-04,-1989.880,
2008-07,-4567.668,
2008-10,-7388.702,
2009-01,-7127.160,
2009-04,-2696.888,
2009-07,-5007.955,
2009-10,-8639.866,
2010-01,-9795.135,
2010-04,-3006.324,
2010-07,-6743.505,
2010-10,-7451.103,
2011-01,-9212.775,
2011-04,-2550.649,
2011-07,-6326.164,
2011-10,-6612.113,
2012-01,-10719.112,
2012-04,-3943.702,
2012-07,-5985.644,
2012-10,-6640.244,
2013-01,-11711.793,
2013-04,-5977.953,
2013-07,-6716.071,
2013-10,-7646.750,
2014-01,-11723.125,Provisional value
2014-04,-5039.876,Provisional value
2014-07,-4901.423,Provisional value
