"",BBK01.OELK02O,BBK01.OELK02O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:19,
2002-01,0.952,
2002-04,0.937,
2002-07,0.973,
2002-10,1.041,
2003-01,0.994,
2003-04,0.998,
2003-07,1.030,
2003-10,1.111,
2004-01,1.068,
2004-04,1.084,
2004-07,1.107,
2004-10,1.166,
2005-01,1.182,
2005-04,1.191,
2005-07,1.229,
2005-10,1.312,
2006-01,1.245,
2006-04,1.261,
2006-07,1.286,
2006-10,1.392,
2007-01,1.334,
2007-04,1.325,
2007-07,1.333,
2007-10,1.405,
2008-01,1.319,
2008-04,1.279,
2008-07,1.259,
2008-10,1.418,
2009-01,1.425,
2009-04,1.509,
2009-07,1.621,
2009-10,1.813,
2010-01,1.768,
2010-04,1.767,
2010-07,1.886,
2010-10,2.052,
2011-01,1.966,
2011-04,1.916,
2011-07,1.953,
2011-10,2.147,
2012-01,2.071,
2012-04,2.080,
2012-07,2.222,
2012-10,2.493,
2013-01,2.438,
2013-04,2.439,
2013-07,2.608,
2013-10,2.803,
2014-01,2.798,
2014-04,2.820,
2014-07,2.902,
