"",BBK01.OEBB10G,BBK01.OEBB10G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:35,
2002-01,9.959,
2002-04,10.852,
2002-07,10.753,
2002-10,10.314,
2003-01,9.557,
2003-04,9.843,
2003-07,9.367,
2003-10,9.652,
2004-01,9.032,
2004-04,9.071,
2004-07,8.497,
2004-10,9.050,
2005-01,7.320,
2005-04,8.388,
2005-07,5.114,
2005-10,4.534,
2006-01,5.075,
2006-04,5.684,
2006-07,5.362,
2006-10,5.143,
2007-01,5.617,
2007-04,5.935,
2007-07,6.133,
2007-10,6.175,
2008-01,7.281,
2008-04,7.747,
2008-07,7.864,
2008-10,7.832,
2009-01,9.560,
2009-04,8.540,
2009-07,8.507,
2009-10,7.116,
2010-01,7.116,
2010-04,7.223,
2010-07,6.517,
2010-10,6.280,
2011-01,6.364,
2011-04,7.227,
2011-07,7.041,
2011-10,6.501,
2012-01,6.510,
2012-04,7.224,
2012-07,6.802,
2012-10,7.149,
2013-01,7.417,
2013-04,7.456,
2013-07,7.443,
2013-10,7.106,
2014-01,7.645,
2014-04,8.067,
2014-07,7.959,
