"",BBK01.OELL08U,BBK01.OELL08U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:31,
2002-01,1.677,
2002-04,1.639,
2002-07,1.639,
2002-10,1.723,
2003-01,1.767,
2003-04,1.761,
2003-07,1.781,
2003-10,1.809,
2004-01,1.816,
2004-04,1.777,
2004-07,1.775,
2004-10,1.830,
2005-01,1.835,
2005-04,1.838,
2005-07,1.845,
2005-10,1.890,
2006-01,1.909,
2006-04,1.875,
2006-07,1.853,
2006-10,1.797,
2007-01,1.767,
2007-04,1.765,
2007-07,1.755,
2007-10,1.756,
2008-01,1.759,
2008-04,1.721,
2008-07,1.683,
2008-10,1.689,
2009-01,1.683,
2009-04,1.660,
2009-07,1.660,
2009-10,1.721,
2010-01,1.736,
2010-04,1.750,
2010-07,1.762,
2010-10,1.796,
2011-01,1.806,
2011-04,1.803,
2011-07,1.808,
2011-10,1.840,
2012-01,1.854,
2012-04,1.875,
2012-07,1.920,
2012-10,1.947,
2013-01,1.997,
2013-04,1.998,
2013-07,1.986,
2013-10,1.979,
2014-01,1.954,
2014-04,1.945,
2014-07,1.939,
