"",BBK01.OEAH23V,BBK01.OEAH23V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:54,
2002-01,0.822,
2002-04,0.814,
2002-07,0.786,
2002-10,0.753,
2003-01,0.716,
2003-04,0.646,
2003-07,0.610,
2003-10,0.588,
2004-01,0.551,
2004-04,0.492,
2004-07,0.445,
2004-10,0.393,
2005-01,0.373,
2005-04,0.359,
2005-07,0.349,
2005-10,0.403,
2006-01,0.456,
2006-04,0.505,
2006-07,0.568,
2006-10,0.672,
2007-01,0.785,
2007-04,0.934,
2007-07,1.017,
2007-10,1.157,
2008-01,1.299,
2008-04,1.476,
2008-07,1.654,
2008-10,1.825,
2009-01,1.616,
2009-04,1.273,
2009-07,0.967,
2009-10,0.734,
2010-01,0.553,
2010-04,0.483,
2010-07,0.444,
2010-10,0.414,
2011-01,0.438,
2011-04,0.457,
2011-07,0.471,
2011-10,0.477,
2012-01,0.441,
2012-04,0.414,
2012-07,0.356,
2012-10,0.361,
2013-01,0.325,
2013-04,0.313,
2013-07,0.304,
2013-10,0.321,
2014-01,0.327,
2014-04,0.326,
2014-07,0.332,
