"",BBK01.OEXB20K,BBK01.OEXB20K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:34,
2002-01,2.354,
2002-04,2.439,
2002-07,2.479,
2002-10,2.604,
2003-01,2.695,
2003-04,2.751,
2003-07,3.240,
2003-10,2.957,
2004-01,3.466,
2004-04,3.128,
2004-07,3.190,
2004-10,3.362,
2005-01,3.020,
2005-04,2.974,
2005-07,3.211,
2005-10,3.272,
2006-01,3.300,
2006-04,3.303,
2006-07,3.336,
2006-10,3.469,
2007-01,3.410,
2007-04,3.381,
2007-07,3.410,
2007-10,3.315,
2008-01,3.298,
2008-04,3.438,
2008-07,3.474,
2008-10,3.698,
2009-01,3.732,
2009-04,3.774,
2009-07,3.807,
2009-10,3.795,
2010-01,3.743,
2010-04,3.791,
2010-07,3.767,
2010-10,3.900,
2011-01,3.856,
2011-04,3.863,
2011-07,3.918,
2011-10,3.948,
2012-01,3.947,
2012-04,3.986,
2012-07,3.933,
2012-10,3.927,
2013-01,3.964,
2013-04,4.021,
2013-07,4.076,
2013-10,4.086,
2014-01,4.123,
2014-04,4.378,
2014-07,4.447,
