"",BBK01.CEBCN0,BBK01.CEBCN0_FLAGS
"",Financial derivatives debtor: Rest of the world                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:57,
1997-10,1.9,
1998-01,0.5,
1998-04,3.6,
1998-07,3.0,
1998-10,2.1,
1999-01,0.3,
1999-04,1.2,
1999-07,1.8,
1999-10,2.4,
2000-01,1.4,
2000-04,6.6,
2000-07,4.7,
2000-10,2.5,
2001-01,3.6,
2001-04,2.5,
2001-07,2.8,
2001-10,3.0,
2002-01,1.1,
2002-04,1.2,
2002-07,5.8,
2002-10,10.0,
2003-01,3.0,
2003-04,2.6,
2003-07,3.8,
2003-10,3.5,
2004-01,4.4,
2004-04,5.1,
2004-07,5.8,
2004-10,3.8,
2005-01,4.0,
2005-04,5.7,
2005-07,5.8,
2005-10,5.6,
2006-01,6.5,
2006-04,6.9,
2006-07,6.1,
2006-10,6.9,
2007-01,5.7,
2007-04,5.3,
2007-07,5.1,
2007-10,4.3,
2008-01,3.6,
2008-04,3.5,
2008-07,3.3,
2008-10,2.6,
2009-01,2.9,
2009-04,3.1,
2009-07,3.2,
2009-10,3.5,
2010-01,3.3,
2010-04,3.2,
2010-07,3.0,
2010-10,-15.5,
2011-01,-15.5,
2011-04,-14.8,
2011-07,-15.0,
2011-10,-16.4,
2012-01,-14.9,
2012-04,-15.3,
2012-07,-15.7,
2012-10,-17.5,
2013-01,-17.0,
2013-04,-17.0,
2013-07,-17.1,
2013-10,-16.3,
2014-01,-16.8,
