"",BBK01.OEXI01O,BBK01.OEXI01O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:30,
2002-01,-63.383,
2002-04,-62.250,
2002-07,-61.508,
2002-10,-67.017,
2003-01,-65.273,
2003-04,-65.066,
2003-07,-66.502,
2003-10,-67.927,
2004-01,-68.459,
2004-04,-68.710,
2004-07,-68.248,
2004-10,-69.514,
2005-01,3.108,
2005-04,3.286,
2005-07,3.354,
2005-10,3.589,
2006-01,3.546,
2006-04,3.232,
2006-07,3.125,
2006-10,3.484,
2007-01,3.539,
2007-04,3.630,
2007-07,4.015,
2007-10,4.199,
2008-01,4.263,
2008-04,4.146,
2008-07,4.303,
2008-10,4.404,
2009-01,4.668,
2009-04,4.441,
2009-07,4.491,
2009-10,4.584,
2010-01,4.077,
2010-04,4.249,
2010-07,6.458,
2010-10,6.036,
2011-01,6.124,
2011-04,6.240,
2011-07,6.120,
2011-10,6.038,
2012-01,5.723,
2012-04,5.562,
2012-07,5.532,
2012-10,5.775,
2013-01,5.301,
2013-04,5.459,
2013-07,5.258,
2013-10,5.493,
2014-01,5.132,
2014-04,5.138,
2014-07,5.440,
