"",BBK01.OELO03U,BBK01.OELO03U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:16:07,
2002-01,0.317,
2002-04,0.236,
2002-07,0.219,
2002-10,0.225,
2003-01,0.216,
2003-04,0.297,
2003-07,0.205,
2003-10,0.276,
2004-01,0.241,
2004-04,0.192,
2004-07,0.198,
2004-10,0.253,
2005-01,0.250,
2005-04,0.206,
2005-07,0.187,
2005-10,0.203,
2006-01,0.216,
2006-04,0.212,
2006-07,0.191,
2006-10,0.245,
2007-01,0.270,
2007-04,0.210,
2007-07,0.213,
2007-10,0.242,
2008-01,0.256,
2008-04,0.234,
2008-07,0.221,
2008-10,0.274,
2009-01,0.242,
2009-04,0.239,
2009-07,0.193,
2009-10,0.210,
2010-01,0.212,
2010-04,0.187,
2010-07,0.169,
2010-10,0.175,
2011-01,0.185,
2011-04,0.189,
2011-07,0.155,
2011-10,0.161,
2012-01,0.168,
2012-04,0.165,
2012-07,0.161,
2012-10,0.174,
2013-01,0.162,
2013-04,0.171,
2013-07,0.146,
2013-10,0.170,
2014-01,0.189,
2014-04,0.156,
2014-07,0.153,
