"",BBK01.OELL02L,BBK01.OELL02L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:47,
2002-01,7.965,
2002-04,8.125,
2002-07,8.016,
2002-10,8.410,
2003-01,8.616,
2003-04,8.823,
2003-07,8.880,
2003-10,9.071,
2004-01,9.213,
2004-04,9.392,
2004-07,9.304,
2004-10,9.489,
2005-01,9.630,
2005-04,9.821,
2005-07,9.671,
2005-10,9.958,
2006-01,9.829,
2006-04,9.863,
2006-07,9.607,
2006-10,9.612,
2007-01,9.588,
2007-04,9.711,
2007-07,9.737,
2007-10,9.708,
2008-01,9.869,
2008-04,9.652,
2008-07,9.294,
2008-10,9.912,
2009-01,10.789,
2009-04,11.877,
2009-07,12.546,
2009-10,13.168,
2010-01,13.603,
2010-04,14.169,
2010-07,14.408,
2010-10,14.547,
2011-01,14.395,
2011-04,14.522,
2011-07,14.437,
2011-10,14.809,
2012-01,14.918,
2012-04,15.371,
2012-07,15.883,
2012-10,16.481,
2013-01,16.899,
2013-04,17.296,
2013-07,17.483,
2013-10,18.000,
2014-01,18.280,
2014-04,18.864,
2014-07,19.245,
