"",BBFB1.Q.N.DE.PT.S1.S1.T.C.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.PT.S1.S1.T.C.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Exports (fob) / Portugal,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:29:29,
1991-01,1010.161,
1991-04,1009.711,
1991-07,818.559,
1991-10,1004.299,
1992-01,914.492,
1992-04,931.255,
1992-07,931.179,
1992-10,974.533,
1993-01,952.914,
1993-04,860.886,
1993-07,712.319,
1993-10,731.808,
1994-01,735.378,
1994-04,794.705,
1994-07,784.428,
1994-10,808.155,
1995-01,924.767,
1995-04,969.664,
1995-07,856.367,
1995-10,1006.577,
1996-01,1067.003,
1996-04,1088.869,
1996-07,982.737,
1996-10,1111.843,
1997-01,1172.329,
1997-04,1285.868,
1997-07,1158.616,
1997-10,1338.841,
1998-01,1223.452,
1998-04,1258.390,
1998-07,1088.761,
1998-10,1289.705,
1999-01,1111.648,
1999-04,1194.139,
1999-07,1260.490,
1999-10,1440.344,
2000-01,1541.883,
2000-04,1426.867,
2000-07,1355.826,
2000-10,1597.984,
2001-01,1572.189,
2001-04,1380.433,
2001-07,1365.979,
2001-10,1450.319,
2002-01,1341.212,
2002-04,1419.163,
2002-07,1406.523,
2002-10,1378.313,
2003-01,1409.650,
2003-04,1479.762,
2003-07,1511.585,
2003-10,1523.047,
2004-01,1550.381,
2004-04,1624.226,
2004-07,1425.019,
2004-10,1450.088,
2005-01,1664.346,
2005-04,1907.025,
2005-07,1650.281,
2005-10,1771.837,
2006-01,1984.368,
2006-04,1710.342,
2006-07,1521.075,
2006-10,1546.008,
2007-01,1925.953,
2007-04,1970.082,
2007-07,1711.380,
2007-10,1856.426,
2008-01,1841.798,
2008-04,1891.871,
2008-07,1887.947,
2008-10,1680.973,
2009-01,1434.079,
2009-04,1370.783,
2009-07,1408.770,
2009-10,1361.966,
2010-01,1483.766,
2010-04,1977.436,
2010-07,1606.837,
2010-10,1883.925,
2011-01,1896.594,
2011-04,1792.763,
2011-07,1554.376,
2011-10,1428.948,
2012-01,1674.763,
2012-04,1493.401,
2012-07,1384.130,
2012-10,1440.863,
2013-01,1566.526,
2013-04,1596.672,
2013-07,1443.806,
2013-10,1617.945,
2014-01,1752.644,Provisional value
2014-04,1799.644,Provisional value
2014-07,1708.873,Provisional value
