"",BBK01.OEAB15S,BBK01.OEAB15S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:33,
2002-01,0.180,
2002-04,0.180,
2002-07,0.179,
2002-10,0.168,
2003-01,0.162,
2003-04,0.162,
2003-07,0.160,
2003-10,0.154,
2004-01,0.146,
2004-04,0.144,
2004-07,0.140,
2004-10,0.133,
2005-01,0.132,
2005-04,0.135,
2005-07,0.133,
2005-10,0.122,
2006-01,0.122,
2006-04,0.118,
2006-07,0.114,
2006-10,0.113,
2007-01,0.111,
2007-04,0.105,
2007-07,0.105,
2007-10,0.097,
2008-01,0.094,
2008-04,0.093,
2008-07,0.089,
2008-10,0.089,
2009-01,0.091,
2009-04,0.091,
2009-07,0.093,
2009-10,0.100,
2010-01,0.097,
2010-04,0.096,
2010-07,0.107,
2010-10,0.109,
2011-01,0.109,
2011-04,0.113,
2011-07,0.111,
2011-10,0.113,
2012-01,0.113,
2012-04,0.138,
2012-07,0.143,
2012-10,0.141,
2013-01,0.143,
2013-04,0.141,
2013-07,0.144,
2013-10,0.143,
2014-01,0.144,
2014-04,0.139,
2014-07,0.144,
