"",BBK01.OEAA03R,BBK01.OEAA03R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:19:33,
2002-01,2.277,
2002-04,2.311,
2002-07,2.390,
2002-10,2.432,
2003-01,2.471,
2003-04,2.397,
2003-07,2.345,
2003-10,2.444,
2004-01,2.233,
2004-04,2.283,
2004-07,2.273,
2004-10,2.187,
2005-01,2.135,
2005-04,2.166,
2005-07,2.090,
2005-10,1.967,
2006-01,1.864,
2006-04,1.906,
2006-07,1.791,
2006-10,1.714,
2007-01,1.773,
2007-04,1.768,
2007-07,1.669,
2007-10,1.611,
2008-01,2.602,
2008-04,1.658,
2008-07,1.703,
2008-10,1.650,
2009-01,1.592,
2009-04,1.527,
2009-07,1.475,
2009-10,1.495,
2010-01,1.385,
2010-04,1.358,
2010-07,1.326,
2010-10,1.159,
2011-01,1.295,
2011-04,1.314,
2011-07,1.184,
2011-10,1.170,
2012-01,1.253,
2012-04,1.268,
2012-07,1.231,
2012-10,1.263,
2013-01,1.332,
2013-04,1.371,
2013-07,1.302,
2013-10,1.341,
2014-01,1.422,
2014-04,1.526,
2014-07,1.421,
