"",BBSF2.M.1.S.00000.DAC01.A.F.ANZ.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.DAC01.A.F.ANZ.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Funds-of-funds / Number / Not defined / Distribution funds,
unit,Stück (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:54:03,
1999-01,1,
1999-02,1,
1999-03,1,
1999-04,1,
1999-05,1,
1999-06,1,
1999-07,1,
1999-08,1,
1999-09,1,
1999-10,1,
1999-11,2,
1999-12,3,
2000-01,4,
2000-02,7,
2000-03,8,
2000-04,9,
2000-05,9,
2000-06,9,
2000-07,11,
2000-08,12,
2000-09,15,
2000-10,16,
2000-11,16,
2000-12,18,
2001-01,19,
2001-02,24,
2001-03,25,
2001-04,28,
2001-05,31,
2001-06,32,
2001-07,34,
2001-08,36,
2001-09,38,
2001-10,39,
2001-11,40,
2001-12,40,
2002-01,40,
2002-02,41,
2002-03,41,
2002-04,44,
2002-05,45,
2002-06,45,
2002-07,45,
2002-08,45,
2002-09,45,
2002-10,46,
2002-11,44,
2002-12,44,
2003-01,44,
2003-02,49,
2003-03,51,
2003-04,53,
2003-05,55,
2003-06,55,
2003-07,56,
2003-08,56,
2003-09,57,
2003-10,60,
2003-11,59,
2003-12,59,
2004-01,59,
2004-02,59,
2004-03,58,
2004-04,58,
2004-05,58,
2004-06,57,
2004-07,56,
2004-08,56,
2004-09,54,
2004-10,54,
2004-11,55,
2004-12,57,
2005-01,57,
2005-02,57,
2005-03,56,
2005-04,56,
2005-05,54,
2005-06,53,
2005-07,53,
2005-08,51,
2005-09,53,
2005-10,52,
2005-11,53,
2005-12,54,
2006-01,54,
2006-02,54,
2006-03,58,
2006-04,59,
2006-05,57,
2006-06,56,
2006-07,57,
2006-08,58,
2006-09,59,
2006-10,59,
2006-11,59,
2006-12,59,
2007-01,57,
2007-02,56,
2007-03,57,
2007-04,57,
2007-05,59,
2007-06,60,
2007-07,60,
2007-08,59,
2007-09,59,
2007-10,60,
2007-11,59,
2007-12,57,
2008-01,55,
2008-02,55,
2008-03,55,
2008-04,56,
2008-05,55,
2008-06,55,
2008-07,53,
2008-08,51,
2008-09,51,
2008-10,51,
2008-11,66,
2008-12,63,
2009-01,63,
2009-02,62,
2009-03,62,
2009-04,61,
2009-05,62,
2009-06,61,
2009-07,62,
2009-08,62,
2009-09,54,
2009-10,54,
2009-11,59,
2009-12,62,
2010-01,61,
2010-02,61,
2010-03,61,
2010-04,60,
2010-05,60,
2010-06,59,
2010-07,60,
2010-08,63,
2010-09,65,
2010-10,64,
2010-11,64,
2010-12,63,
2011-01,61,
2011-02,61,
2011-03,62,
2011-04,63,
2011-05,62,
2011-06,62,
2011-07,62,
2011-08,62,
2011-09,62,
2011-10,61,
2011-11,61,
2011-12,60,
2012-01,59,
2012-02,58,
2012-03,59,
2012-04,60,
2012-05,59,
2012-06,59,
2012-07,60,
2012-08,60,
2012-09,60,
2012-10,60,
2012-11,61,
2012-12,62,
2013-01,63,
2013-02,63,
2013-03,63,
2013-04,64,
2013-05,65,
2013-06,66,
2013-07,67,
2013-08,67,
2013-09,67,
2013-10,68,
2013-11,68,
2013-12,68,
2014-01,68,
2014-02,68,
2014-03,68,
2014-04,67,
2014-05,67,
2014-06,76,
2014-07,80,
2014-08,78,
2014-09,81,
2014-10,81,
2014-11,81,
