"",BBK01.OEXM03J,BBK01.OEXM03J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:43:42,
2002-01,0.023,
2002-04,0.021,
2002-07,0.009,
2002-10,0.013,
2003-01,0.014,
2003-04,0.013,
2003-07,0.029,
2003-10,0.037,
2004-01,0.028,
2004-04,0.029,
2004-07,0.021,
2004-10,0.009,
2005-01,0.005,
2005-04,0.008,
2005-07,0.016,
2005-10,0.027,
2006-01,0.012,
2006-04,0.012,
2006-07,0.019,
2006-10,0.027,
2007-01,0.029,
2007-04,0.025,
2007-07,0.017,
2007-10,0.030,
2008-01,0.025,
2008-04,0.024,
2008-07,0.025,
2008-10,0.028,
2009-01,0.020,
2009-04,0.013,
2009-07,0.009,
2009-10,0.014,
2010-01,0.020,
2010-04,0.017,
2010-07,0.021,
2010-10,0.016,
2011-01,0.011,
2011-04,0.011,
2011-07,0.007,
2011-10,0.008,
2012-01,0.008,
2012-04,0.013,
2012-07,0.011,
2012-10,0.016,
2013-01,0.011,
2013-04,0.007,
2013-07,0.013,
2013-10,0.011,
2014-01,0.357,
2014-04,0.373,
2014-07,0.428,
