"",BBK01.OEAB10Q,BBK01.OEAB10Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:08,
2002-01,5.579,
2002-04,5.622,
2002-07,5.855,
2002-10,6.619,
2003-01,6.486,
2003-04,6.784,
2003-07,7.217,
2003-10,7.496,
2004-01,6.660,
2004-04,5.386,
2004-07,5.262,
2004-10,5.381,
2005-01,5.469,
2005-04,5.825,
2005-07,5.446,
2005-10,5.128,
2006-01,5.101,
2006-04,5.173,
2006-07,5.328,
2006-10,5.087,
2007-01,5.343,
2007-04,5.472,
2007-07,5.595,
2007-10,5.796,
2008-01,5.664,
2008-04,8.629,
2008-07,7.344,
2008-10,4.721,
2009-01,4.787,
2009-04,5.961,
2009-07,5.031,
2009-10,5.719,
2010-01,4.204,
2010-04,5.870,
2010-07,4.807,
2010-10,5.245,
2011-01,6.026,
2011-04,3.561,
2011-07,3.490,
2011-10,3.179,
2012-01,6.054,
2012-04,6.336,
2012-07,9.365,
2012-10,5.082,
2013-01,3.838,
2013-04,3.529,
2013-07,3.665,
2013-10,4.158,
2014-01,4.063,
2014-04,4.220,
2014-07,4.482,
