"",BBK01.OEXB07P,BBK01.OEXB07P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:24,
2002-01,0.138,
2002-04,0.135,
2002-07,0.132,
2002-10,0.124,
2003-01,0.128,
2003-04,0.144,
2003-07,0.114,
2003-10,0.110,
2004-01,0.109,
2004-04,0.106,
2004-07,0.107,
2004-10,0.104,
2005-01,0.103,
2005-04,0.108,
2005-07,0.113,
2005-10,0.114,
2006-01,0.116,
2006-04,0.116,
2006-07,0.122,
2006-10,0.128,
2007-01,0.129,
2007-04,0.124,
2007-07,0.129,
2007-10,0.129,
2008-01,0.124,
2008-04,0.122,
2008-07,0.121,
2008-10,0.124,
2009-01,0.128,
2009-04,0.129,
2009-07,0.126,
2009-10,0.126,
2010-01,0.122,
2010-04,0.136,
2010-07,0.134,
2010-10,0.132,
2011-01,0.131,
2011-04,0.125,
2011-07,0.128,
2011-10,0.117,
2012-01,0.119,
2012-04,0.119,
2012-07,0.118,
2012-10,0.114,
2013-01,0.122,
2013-04,0.118,
2013-07,0.128,
2013-10,0.128,
2014-01,0.118,
2014-04,0.118,
2014-07,0.119,
