"",BBFB1.Q.N.DE.TR.S1.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.TR.S1.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Receipts / Turkey,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:53,
1991-01,1.760,
1991-04,0.823,
1991-07,1.005,
1991-10,0.725,
1992-01,1.045,
1992-04,0.854,
1992-07,2.990,
1992-10,2.014,
1993-01,1.411,
1993-04,1.055,
1993-07,1.872,
1993-10,8.502,
1994-01,2.049,
1994-04,1.082,
1994-07,2.338,
1994-10,1.845,
1995-01,1.140,
1995-04,0.659,
1995-07,0.874,
1995-10,0.795,
1996-01,0.605,
1996-04,0.759,
1996-07,0.945,
1996-10,0.895,
1997-01,1.616,
1997-04,1.885,
1997-07,4.139,
1997-10,6.388,
1998-01,1.228,
1998-04,0.531,
1998-07,5.590,
1998-10,2.059,
1999-01,0.504,
1999-04,1.201,
1999-07,3.444,
1999-10,1.562,
2000-01,1.224,
2000-04,3.757,
2000-07,1.565,
2000-10,3.852,
2001-01,2.716,
2001-04,1.970,
2001-07,0.865,
2001-10,1.548,
2002-01,1.295,
2002-04,1.907,
2002-07,1.116,
2002-10,1.897,
2003-01,2.148,
2003-04,0.791,
2003-07,0.521,
2003-10,2.050,
2004-01,0.558,
2004-04,0.835,
2004-07,0.541,
2004-10,1.095,
2005-01,1.201,
2005-04,1.572,
2005-07,1.399,
2005-10,1.765,
2006-01,0.991,
2006-04,5.522,
2006-07,1.084,
2006-10,1.329,
2007-01,1.650,
2007-04,2.383,
2007-07,1.197,
2007-10,0.235,
2008-01,1.165,
2008-04,2.371,
2008-07,2.705,
2008-10,3.179,
2009-01,3.158,
2009-04,5.614,
2009-07,4.648,
2009-10,3.952,
2010-01,4.786,
2010-04,4.015,
2010-07,6.186,
2010-10,4.607,
2011-01,7.329,
2011-04,8.544,
2011-07,8.373,
2011-10,10.000,
2012-01,6.879,
2012-04,11.568,
2012-07,16.259,
2012-10,14.819,
2013-01,7.816,
2013-04,13.598,
2013-07,12.094,
2013-10,16.290,
2014-01,3.803,Provisional value
2014-04,5.748,Provisional value
2014-07,5.781,Provisional value
