"",BBK01.OEAC06Q,BBK01.OEAC06Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:08,
2002-01,2.253,
2002-04,2.318,
2002-07,2.232,
2002-10,2.167,
2003-01,2.173,
2003-04,2.286,
2003-07,2.294,
2003-10,2.198,
2004-01,2.194,
2004-04,2.221,
2004-07,2.222,
2004-10,2.108,
2005-01,2.128,
2005-04,2.185,
2005-07,2.195,
2005-10,2.132,
2006-01,2.199,
2006-04,2.251,
2006-07,2.268,
2006-10,2.183,
2007-01,2.219,
2007-04,2.279,
2007-07,2.287,
2007-10,2.216,
2008-01,2.274,
2008-04,2.410,
2008-07,2.462,
2008-10,2.429,
2009-01,2.456,
2009-04,2.611,
2009-07,2.759,
2009-10,2.791,
2010-01,2.861,
2010-04,3.110,
2010-07,3.169,
2010-10,3.111,
2011-01,3.133,
2011-04,3.223,
2011-07,3.290,
2011-10,3.309,
2012-01,3.398,
2012-04,3.517,
2012-07,3.528,
2012-10,3.526,
2013-01,3.561,
2013-04,3.605,
2013-07,3.640,
2013-10,3.589,
2014-01,3.629,
2014-04,3.709,
2014-07,3.719,
