"",BBFB1.Q.N.DE.PT.S1.S1.T.B.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.PT.S1.S1.T.B.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Balance / Portugal,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:29:35,
1991-01,-138.124,
1991-04,-146.353,
1991-07,-205.952,
1991-10,-118.028,
1992-01,-156.520,
1992-04,-153.929,
1992-07,-232.764,
1992-10,-121.520,
1993-01,-140.451,
1993-04,-116.709,
1993-07,-55.333,
1993-10,-95.145,
1994-01,-106.301,
1994-04,-144.018,
1994-07,-226.036,
1994-10,-126.070,
1995-01,-149.353,
1995-04,-141.026,
1995-07,-261.310,
1995-10,-127.203,
1996-01,-132.931,
1996-04,-148.891,
1996-07,-234.664,
1996-10,-110.531,
1997-01,-115.251,
1997-04,-129.460,
1997-07,-211.381,
1997-10,-108.802,
1998-01,-109.114,
1998-04,-121.681,
1998-07,-218.350,
1998-10,-120.104,
1999-01,-178.226,
1999-04,-159.062,
1999-07,-288.107,
1999-10,-141.049,
2000-01,-149.253,
2000-04,-147.714,
2000-07,-296.443,
2000-10,-114.719,
2001-01,-140.169,
2001-04,-125.168,
2001-07,-282.866,
2001-10,-107.527,
2002-01,-131.585,
2002-04,-135.967,
2002-07,-255.005,
2002-10,-121.957,
2003-01,-125.249,
2003-04,-199.156,
2003-07,-199.132,
2003-10,-103.984,
2004-01,-76.146,
2004-04,-113.694,
2004-07,-168.885,
2004-10,-50.958,
2005-01,-6.422,
2005-04,-99.080,
2005-07,-299.587,
2005-10,47.974,
2006-01,0.520,
2006-04,-84.292,
2006-07,-133.909,
2006-10,-50.505,
2007-01,-48.664,
2007-04,-224.872,
2007-07,-156.606,
2007-10,-117.132,
2008-01,-31.043,
2008-04,-253.420,
2008-07,-247.830,
2008-10,-60.986,
2009-01,12.724,
2009-04,-80.395,
2009-07,-210.346,
2009-10,16.171,
2010-01,-2.115,
2010-04,-98.021,
2010-07,-204.443,
2010-10,-41.916,
2011-01,-23.632,
2011-04,-111.493,
2011-07,-174.658,
2011-10,-48.048,
2012-01,-42.415,
2012-04,-116.504,
2012-07,-246.881,
2012-10,-160.106,
2013-01,-73.748,
2013-04,-219.523,
2013-07,-244.304,
2013-10,-106.912,
2014-01,-35.014,Provisional value
2014-04,-152.660,Provisional value
2014-07,-227.586,Provisional value
