"",BBK01.OECJ01I,BBK01.OECJ01I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:11,
2002-01,2.954,
2002-04,3.105,
2002-07,3.456,
2002-10,3.354,
2003-01,2.917,
2003-04,2.952,
2003-07,2.781,
2003-10,2.989,
2004-01,2.708,
2004-04,2.525,
2004-07,2.755,
2004-10,3.523,
2005-01,3.280,
2005-04,3.402,
2005-07,3.596,
2005-10,4.584,
2006-01,3.830,
2006-04,3.848,
2006-07,4.389,
2006-10,4.777,
2007-01,4.528,
2007-04,4.564,
2007-07,4.435,
2007-10,5.998,
2008-01,4.954,
2008-04,5.619,
2008-07,5.381,
2008-10,5.921,
2009-01,5.588,
2009-04,6.707,
2009-07,6.555,
2009-10,6.509,
2010-01,7.115,
2010-04,6.442,
2010-07,6.810,
2010-10,7.330,
2011-01,6.374,
2011-04,6.791,
2011-07,6.938,
2011-10,7.287,
2012-01,6.722,
2012-04,7.265,
2012-07,6.556,
2012-10,7.312,
2013-01,8.085,
2013-04,7.802,
2013-07,7.750,
2013-10,8.619,
2014-01,7.575,
2014-04,8.524,
2014-07,8.210,
