"",BBK01.OEBI09K,BBK01.OEBI09K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:07,
2002-01,0.661,
2002-04,0.627,
2002-07,0.648,
2002-10,0.620,
2003-01,0.565,
2003-04,0.526,
2003-07,0.500,
2003-10,0.498,
2004-01,0.475,
2004-04,0.450,
2004-07,0.427,
2004-10,0.420,
2005-01,0.424,
2005-04,0.406,
2005-07,0.366,
2005-10,0.363,
2006-01,0.372,
2006-04,0.395,
2006-07,0.415,
2006-10,0.445,
2007-01,0.583,
2007-04,0.655,
2007-07,0.725,
2007-10,0.842,
2008-01,0.901,
2008-04,0.988,
2008-07,1.052,
2008-10,1.533,
2009-01,1.506,
2009-04,1.511,
2009-07,1.477,
2009-10,1.202,
2010-01,1.004,
2010-04,0.985,
2010-07,0.936,
2010-10,1.066,
2011-01,1.191,
2011-04,1.214,
2011-07,1.219,
2011-10,1.191,
2012-01,1.113,
2012-04,1.092,
2012-07,1.028,
2012-10,0.887,
2013-01,0.771,
2013-04,0.695,
2013-07,0.653,
2013-10,0.639,
2014-01,0.612,
2014-04,0.585,
2014-07,0.698,
