"",BBK01.OELB11N,BBK01.OELB11N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:20,
2002-01,1.580,
2002-04,1.545,
2002-07,1.550,
2002-10,1.561,
2003-01,1.515,
2003-04,1.472,
2003-07,1.458,
2003-10,1.439,
2004-01,1.418,
2004-04,1.475,
2004-07,1.453,
2004-10,1.417,
2005-01,1.400,
2005-04,1.392,
2005-07,1.340,
2005-10,1.310,
2006-01,1.335,
2006-04,1.329,
2006-07,1.383,
2006-10,1.370,
2007-01,1.409,
2007-04,1.425,
2007-07,1.495,
2007-10,1.508,
2008-01,1.540,
2008-04,1.563,
2008-07,1.662,
2008-10,2.452,
2009-01,2.558,
2009-04,2.624,
2009-07,2.702,
2009-10,2.752,
2010-01,2.774,
2010-04,2.803,
2010-07,2.822,
2010-10,2.860,
2011-01,2.867,
2011-04,2.883,
2011-07,2.848,
2011-10,2.604,
2012-01,2.726,
2012-04,2.569,
2012-07,2.566,
2012-10,2.356,
2013-01,2.360,
2013-04,2.404,
2013-07,2.413,
2013-10,2.224,
2014-01,2.193,
2014-04,2.085,
2014-07,2.159,
