"",BBDA1.M.DE.N.IM.S.A.ESXES1.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.ESXES1.A.V.ABA.A_FLAGS
"","Imports / At current prices, flows / Aggregate / all goods / Spain excluding Ceuta and Melilla / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:19,
1990-07,575890,
1990-08,406911,
1990-09,449896,
1990-10,621068,
1990-11,756016,
1990-12,741430,
1991-01,826532,
1991-02,708403,
1991-03,779546,
1991-04,751210,
1991-05,755292,
1991-06,726429,
1991-07,771768,
1991-08,465308,
1991-09,561029,
1991-10,763808,
1991-11,790666,
1991-12,807705,
1992-01,737351,
1992-02,734847,
1992-03,809184,
1992-04,817151,
1992-05,765011,
1992-06,711515,
1992-07,805877,
1992-08,386864,
1992-09,598135,
1992-10,772185,
1992-11,824494,
1992-12,855381,
1993-01,557520,
1993-02,605166,
1993-03,768409,
1993-04,641839,
1993-05,672908,
1993-06,602354,
1993-07,611000,
1993-08,413679,
1993-09,584112,
1993-10,617317,
1993-11,747805,
1993-12,748824,
1994-01,654296,
1994-02,755435,
1994-03,816262,
1994-04,745100,
1994-05,826794,
1994-06,766655,
1994-07,682507,
1994-08,496947,
1994-09,750976,
1994-10,739354,
1994-11,816908,
1994-12,878253,
1995-01,858360,
1995-02,1025178,
1995-03,1036194,
1995-04,842236,
1995-05,941164,
1995-06,970527,
1995-07,821105,
1995-08,658878,
1995-09,855624,
1995-10,901302,
1995-11,911957,
1995-12,905845,
1996-01,1075312,
1996-02,1030216,
1996-03,1034942,
1996-04,1053689,
1996-05,960412,
1996-06,930361,
1996-07,940082,
1996-08,671195,
1996-09,867963,
1996-10,1006663,
1996-11,1066283,
1996-12,1048790,
1997-01,1006265,
1997-02,1111787,
1997-03,1094504,
1997-04,1168757,
1997-05,1255059,
1997-06,1146565,
1997-07,1129608,
1997-08,789736,
1997-09,978451,
1997-10,1195530,
1997-11,1106113,
1997-12,1281004,
1998-01,1174545,
1998-02,1286248,
1998-03,1320312,
1998-04,1406053,
1998-05,1135074,
1998-06,1306267,
1998-07,1233668,
1998-08,845126,
1998-09,1133632,
1998-10,1078402,
1998-11,1135331,
1998-12,1159819,
1999-01,1158269,
1999-02,1227197,
1999-03,1268877,
1999-04,1358521,
1999-05,1276871,
1999-06,1559493,
1999-07,1068507,
1999-08,845399,
1999-09,1078586,
1999-10,1079592,
1999-11,1278720,
1999-12,1466441,
2000-01,1243370,
2000-02,1292539,
2000-03,1490476,
2000-04,1257523,
2000-05,1581648,
2000-06,1343979,
2000-07,1307347,
2000-08,983576,
2000-09,1281273,
2000-10,1391304,
2000-11,1498941,
2000-12,1415130,
2001-01,1373165,
2001-02,1354203,
2001-03,1434259,
2001-04,1322780,
2001-05,1466747,
2001-06,1368221,
2001-07,1254885,
2001-08,1014267,
2001-09,1032600,
2001-10,1241804,
2001-11,1228601,
2001-12,1134101,
2002-01,1278685,
2002-02,1334845,
2002-03,1249978,
2002-04,1336281,
2002-05,1175658,
2002-06,1410815,
2002-07,1370037,
2002-08,981498,
2002-09,1204890,
2002-10,1417463,
2002-11,1493371,
2002-12,1278857,
2003-01,1257175,
2003-02,1390531,
2003-03,1474995,
2003-04,1449288,
2003-05,1372554,
2003-06,1494924,
2003-07,1417399,
2003-08,1013911,
2003-09,1366665,
2003-10,1386061,
2003-11,1547525,
2003-12,1346792,
2004-01,1343588,
2004-02,1455656,
2004-03,1475767,
2004-04,1372703,
2004-05,1481591,
2004-06,1448262,
2004-07,1593868,
2004-08,1225361,
2004-09,1435368,
2004-10,1484402,
2004-11,1674702,
2004-12,1434266,
2005-01,1453077,
2005-02,1424719,
2005-03,1595498,
2005-04,1637997,
2005-05,1641865,
2005-06,1546270,
2005-07,1426709,
2005-08,1213499,
2005-09,1443630,
2005-10,1490040,
2005-11,1612263,
2005-12,1584253,
2006-01,1439643,
2006-02,1590859,
2006-03,1826040,
2006-04,1624393,
2006-05,1637668,
2006-06,1709721,
2006-07,1638851,
2006-08,1340625,
2006-09,1602687,
2006-10,1871235,
2006-11,1895224,
2006-12,1654619,
2007-01,1703665,
2007-02,1734755,
2007-03,1845986,
2007-04,1734629,
2007-05,1794925,
2007-06,1850673,
2007-07,1720507,
2007-08,1489859,
2007-09,1668393,
2007-10,1811450,
2007-11,1810402,
2007-12,1521774,
2008-01,1801299,
2008-02,1882798,
2008-03,1776904,
2008-04,1909745,
2008-05,1873239,
2008-06,1813842,
2008-07,1842923,
2008-08,1294944,
2008-09,1764441,
2008-10,1738555,
2008-11,1597210,
2008-12,1404762,
2009-01,1491234,
2009-02,1541878,
2009-03,1981348,
2009-04,1676893,
2009-05,1598954,
2009-06,1618082,
2009-07,1486654,
2009-08,1238102,
2009-09,1614504,
2009-10,1671526,
2009-11,1588595,
2009-12,1450888,
2010-01,1585674,
2010-02,1841140,
2010-03,1965576,
2010-04,1946462,
2010-05,1951132,
2010-06,2012695,
2010-07,1974454,
2010-08,1352865,
2010-09,1681991,
2010-10,1996909,
2010-11,1925136,
2010-12,1720659,
2011-01,1848769,
2011-02,1956000,
2011-03,2186854,
2011-04,1904969,
2011-05,1989922,
2011-06,2043195,
2011-07,1821685,
2011-08,1337963,
2011-09,2011393,
2011-10,1803355,
2011-11,1880522,
2011-12,1706025,
2012-01,1959507,
2012-02,2160760,
2012-03,2220839,
2012-04,1838853,
2012-05,2137451,
2012-06,2084652,
2012-07,1950202,
2012-08,1461543,
2012-09,1830271,
2012-10,1960720,
2012-11,1968683,
2012-12,1633018,
2013-01,2007379,
2013-02,2007123,
2013-03,2083279,
2013-04,2052281,
2013-05,2105771,
2013-06,2070476,
2013-07,1988490,
2013-08,1492181,
2013-09,1838726,
2013-10,2162296,
2013-11,1969732,
2013-12,1861716,
2014-01,1898762,
2014-02,2172184,
2014-03,2134333,
2014-04,2143250,
2014-05,2116939,
2014-06,2282226,
2014-07,2197432,
2014-08,1491500,
2014-09,2186357,
2014-10,2221243,
2014-11,2167191,
2014-12,1997270,
