"",BBK01.OEXB12R,BBK01.OEXB12R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:49,
2002-01,1.589,
2002-04,1.636,
2002-07,1.680,
2002-10,1.707,
2003-01,1.705,
2003-04,1.740,
2003-07,1.762,
2003-10,1.823,
2004-01,1.846,
2004-04,1.844,
2004-07,1.893,
2004-10,1.805,
2005-01,1.818,
2005-04,1.848,
2005-07,1.913,
2005-10,1.956,
2006-01,2.013,
2006-04,2.072,
2006-07,2.139,
2006-10,2.292,
2007-01,2.345,
2007-04,2.375,
2007-07,2.413,
2007-10,2.587,
2008-01,5.825,
2008-04,2.968,
2008-07,2.993,
2008-10,3.087,
2009-01,3.095,
2009-04,3.194,
2009-07,3.289,
2009-10,3.477,
2010-01,3.585,
2010-04,3.707,
2010-07,3.889,
2010-10,4.037,
2011-01,4.138,
2011-04,4.246,
2011-07,4.333,
2011-10,4.534,
2012-01,4.649,
2012-04,4.743,
2012-07,4.883,
2012-10,5.046,
2013-01,5.113,
2013-04,5.219,
2013-07,5.297,
2013-10,5.499,
2014-01,5.596,
2014-04,5.475,
2014-07,5.544,
