"",BBEX3.M.GYD.USD.CA.AA.A01,BBEX3.M.GYD.USD.CA.AA.A01_FLAGS
"",Exchange rates for the US dollar in Guyana / USD 1 = GYD ... (buying),
unit,GYD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:17:41,
1991-01,44.97188,
1991-02,102.68578,comment
1991-03,126.42094,
1991-04,124.42219,
1991-05,123.67266,
1991-06,122.92313,
1991-07,123.42281,
1991-08,119.92500,
1991-09,119.17547,
1991-10,120.92438,
1991-11,121.67391,
1991-12,122.67328,
1992-01,123.67266,
1992-02,124.17234,
1992-03,123.92250,
1992-04,123.92250,
1992-05,124.67203,
1992-06,126.17109,
1992-07,125.17172,
1992-08,125.17172,
1992-09,125.92125,
1992-10,125.92125,
1992-11,125.92125,
1992-12,125.92125,
1993-01,125.92125,
1993-02,125.92125,
1993-03,125.92125,
1993-04,125.92125,
1993-05,125.92125,
1993-06,126.42094,
1993-07,126.67078,
1993-08,126.17109,
1993-09,127.17047,
1993-10,126.92063,
1993-11,128.91938,
1993-12,130.66828,
1994-01,130.41844,
1994-02,130.91813,
1994-03,132.66703,
1994-04,135.91500,
1994-05,140.66203,
1994-06,141.41156,
1994-07,141.91125,
1994-08,141.16172,
1994-09,141.16172,
1994-10,142.41094,
1994-11,142.41094,
1994-12,142.41094,
1995-01,142.66078,
1995-02,142.91063,
1995-03,143.41031,
1995-04,143.16047,
1995-05,143.66016,
1995-06,143.66016,
1995-07,142.41094,
1995-08,139.66266,
1995-09,140.16234,
1995-10,139.41281,
1995-11,139.41281,
1995-12,140.41219,
1996-01,140.16234,
1996-02,140.16234,
1996-03,140.16234,
1996-04,140.16234,
1996-05,140.16234,
1996-06,140.16234,
1996-07,140.16234,
1996-08,140.16234,
1996-09,140.16234,
1996-10,140.16234,
1996-11,140.66203,
1996-12,141.16172,
1997-01,141.16172,
1997-02,142.16109,
1997-03,142.16109,
1997-04,142.16109,
1997-05,142.41094,
1997-06,142.16109,
1997-07,142.66078,
1997-08,142.66078,
1997-09,142.66078,
1997-10,142.41094,
1997-11,143.16047,
1997-12,143.91000,
1998-01,144.15984,
1998-02,144.90938,
1998-03,152.15484,
1998-04,146.40844,
1998-05,145.90875,
1998-06,147.15797,
1998-07,149.15672,
1998-08,149.90625,
1998-09,152.65453,
1998-10,156.90188,
1998-11,162.64828,
1998-12,165.14672,
1999-01,173.89125,
1999-02,177.13922,
1999-03,178.88813,
1999-04,177.13922,
1999-05,176.63953,
1999-06,177.13922,
1999-07,178.38844,
1999-08,179.13797,
1999-09,179.63766,
1999-10,180.38719,
1999-11,180.13734,
1999-12,180.38719,
2000-01,181.38656,
2000-02,181.38656,
2000-03,181.63641,
2000-04,182.13609,
2000-05,181.88625,
2000-06,182.13609,
2000-07,182.13609,
2000-08,181.88625,
2000-09,182.13609,
2000-10,183.63516,
2000-11,184.63453,
2000-12,184.63453,
2001-01,186.13359,
2001-02,186.13359,
2001-03,186.13359,
2001-04,186.38344,
2001-05,186.63328,
2001-06,186.63328,
2001-07,186.63328,
2001-08,186.63328,
2001-09,189.13172,
2001-10,189.63141,
2001-11,189.38156,
2001-12,189.38156,
2002-01,189.63141,
2002-02,189.77438,
2002-03,190.02375,
2002-04,190.02375,
2002-05,190.02375,
2002-06,190.27313,
2002-07,190.77188,
2002-08,190.52250,
2002-09,190.52250,
2002-10,189.52500,
2002-11,191.27063,
2002-12,191.27063,
2003-01,191.27063,
2003-02,191.76938,
2003-03,193.26563,
2003-04,193.26563,
2003-05,192.01875,
2003-06,193.26563,
2003-07,193.51500,
2003-08,194.01375,
2003-09,194.76188,
2003-10,194.76188,
2003-11,195.51000,
2003-12,193.76438,
2004-01,195.51000,
2004-02,195.51000,
2004-03,196.75688,
2004-04,196.75688,
2004-05,197.75438,
2004-06,198.25313,
2004-07,195.75938,
2004-08,198.75188,
2004-09,199.50000,
2004-10,199.50000,
2004-11,199.50000,
2004-12,199.25063,
2005-01,199.25063,
2005-02,199.25063,
2005-03,199.25063,
2005-04,199.50000,
2005-05,199.50000,
2005-06,199.74938,
2005-07,199.10125,
2005-08,199.00125,
2005-09,199.50000,
2005-10,199.25063,
2005-11,199.25063,
2005-12,199.74938,
2006-01,199.75000,
2006-02,199.75000,
2006-03,199.25000,
2006-04,199.50000,
2006-05,199.50000,
2006-06,199.50000,
2006-07,199.50000,
2006-08,199.50000,
2006-09,199.50000,
2006-10,200.25000,
2006-11,200.25000,
2006-12,200.50000,
2007-01,200.25000,
2007-02,200.25000,
2007-03,201.25000,
2007-04,201.25000,
2007-05,201.25000,
2007-06,203.24000,
2007-07,202.49000,
2007-08,202.74000,
2007-09,203.24000,
2007-10,202.74000,
2007-11,202.24000,
2007-12,202.99000,
2008-01,202.24000,
2008-02,201.99000,
2008-03,203.74000,
2008-04,203.49000,
2008-05,202.99000,
2008-06,203.49000,
2008-07,203.74000,
2008-08,203.74000,
2008-09,203.49000,
2008-10,203.99000,
2008-11,203.24000,
