"",BBK01.OEAH95M,BBK01.OEAH95M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:10,
2002-01,0.851,
2002-04,0.815,
2002-07,0.788,
2002-10,0.789,
2003-01,0.762,
2003-04,0.722,
2003-07,0.671,
2003-10,0.627,
2004-01,0.610,
2004-04,0.596,
2004-07,0.581,
2004-10,0.553,
2005-01,0.539,
2005-04,0.485,
2005-07,0.464,
2005-10,0.465,
2006-01,0.459,
2006-04,0.460,
2006-07,0.455,
2006-10,0.458,
2007-01,0.456,
2007-04,0.449,
2007-07,0.424,
2007-10,0.430,
2008-01,0.435,
2008-04,0.436,
2008-07,0.421,
2008-10,0.449,
2009-01,0.453,
2009-04,0.464,
2009-07,0.461,
2009-10,0.452,
2010-01,0.451,
2010-04,0.448,
2010-07,0.445,
2010-10,0.448,
2011-01,0.447,
2011-04,0.437,
2011-07,0.437,
2011-10,0.444,
2012-01,0.451,
2012-04,0.448,
2012-07,0.441,
2012-10,0.440,
2013-01,0.429,
2013-04,0.417,
2013-07,0.410,
2013-10,0.410,
2014-01,0.411,
2014-04,0.404,
2014-07,0.401,
