"",BBK01.CEBP20,BBK01.CEBP20_FLAGS
"",Time deposits debtor: Domestic financial corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:18:37,
1991-01,1175.0,
1991-04,1187.3,
1991-07,1203.2,
1991-10,1254.0,
1992-01,1239.4,
1992-04,1251.4,
1992-07,1295.6,
1992-10,1284.2,
1993-01,1288.1,
1993-04,1305.2,
1993-07,1314.4,
1993-10,1385.3,
1994-01,1406.0,
1994-04,1408.6,
1994-07,1422.2,
1994-10,1445.9,
1995-01,1454.0,
1995-04,1463.1,
1995-07,1484.9,
1995-10,1527.2,
1996-01,1570.3,
1996-04,1572.0,
1996-07,1592.1,
1996-10,1636.2,
1997-01,1678.6,
1997-04,1718.3,
1997-07,1738.7,
1997-10,1810.0,
1998-01,1839.2,
1998-04,1874.1,
1998-07,1914.7,
1998-10,1986.9,
1999-01,2198.0,
1999-04,2238.8,
1999-07,2321.1,
1999-10,2438.6,
2000-01,2468.1,
2000-04,2465.0,
2000-07,2520.8,
2000-10,2634.4,
2001-01,2702.2,
2001-04,2703.7,
2001-07,2694.5,
2001-10,2739.1,
2002-01,2672.2,
2002-04,2627.3,
2002-07,2640.8,
2002-10,2722.5,
2003-01,2674.3,
2003-04,2670.9,
2003-07,2635.8,
2003-10,2695.1,
2004-01,2632.4,
2004-04,2660.2,
2004-07,2673.9,
2004-10,2780.6,
2005-01,2726.8,
2005-04,2753.0,
2005-07,2782.6,
2005-10,2826.6,
2006-01,2847.5,
2006-04,2857.2,
2006-07,2870.2,
2006-10,2910.5,
2007-01,2941.7,
2007-04,2954.6,
2007-07,3065.6,
2007-10,3258.8,
2008-01,3224.9,
2008-04,3253.1,
2008-07,3393.8,
2008-10,3395.2,
2009-01,3147.7,
2009-04,3166.9,
2009-07,2984.2,
2009-10,2913.7,
2010-01,2847.0,
2010-04,2898.6,
2010-07,2778.1,
2010-10,2824.6,
2011-01,2714.6,
2011-04,2684.2,
2011-07,2755.1,
2011-10,2802.7,
2012-01,2879.7,
2012-04,2849.4,
2012-07,2763.5,
2012-10,2615.9,
2013-01,2565.3,
2013-04,2522.0,
2013-07,2497.6,
2013-10,2481.8,
2014-01,2431.9,
