"",BBK01.OEAA37L,BBK01.OEAA37L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:30,
2002-01,78.902,
2002-04,81.013,
2002-07,82.489,
2002-10,82.572,
2003-01,84.215,
2003-04,88.166,
2003-07,92.828,
2003-10,96.033,
2004-01,96.085,
2004-04,98.330,
2004-07,99.285,
2004-10,100.256,
2005-01,101.800,
2005-04,103.120,
2005-07,105.715,
2005-10,107.607,
2006-01,108.453,
2006-04,106.277,
2006-07,110.897,
2006-10,111.853,
2007-01,109.106,
2007-04,111.154,
2007-07,118.289,
2007-10,122.522,
2008-01,122.810,
2008-04,121.751,
2008-07,126.208,
2008-10,125.153,
2009-01,125.836,
2009-04,128.094,
2009-07,128.951,
2009-10,130.525,
2010-01,130.304,
2010-04,130.945,
2010-07,131.697,
2010-10,132.599,
2011-01,131.769,
2011-04,132.641,
2011-07,134.011,
2011-10,134.961,
2012-01,134.533,
2012-04,135.757,
2012-07,137.527,
2012-10,137.977,
2013-01,137.965,
2013-04,138.328,
2013-07,139.378,
2013-10,139.973,
2014-01,140.008,
2014-04,140.937,
2014-07,142.072,
